un_048010_0010#0,"""ああっ、<%me>さん！<br>とってもいいところに来てくれました！"""
un_048010_0020#0,"""この前の件で情報部に苦情を入れたら<br>なんか急にカスラさんが乗り込んできて！<br>いわゆるひとつの一触即発ですよ！"""
un_048010_0030#0,"""事を構える気も荒立てる気も<br>私には一切ないんですが……まあいいです。"""
un_048010_0040#0,"""文字情報だけでは味気ないと思いまして<br>情報部の司令としては、経緯の説明と<br>その謝罪を直々に行うべき、かと。"""
un_048010_0050#0,"""先日の地球来訪者への問答<br>およびアイカによる監視の実施。"""
un_048010_0060#0,"""極秘裏に調査することも可能でしたが<br>皆さんに隠さずに、表舞台で対応したことは<br>せめてもの誠意のつもりでした。"""
un_048010_0070#0,"""ですが、それで不快な思いをされたのなら<br>意味がありません。<br>情報部司令として、謹んで謝罪します。"""
un_048010_0080#0,"""そんなことせずとも、私の方から<br>ヒツギさんたちの情報は出しているはずです。<br>どうしてあんな露骨な調査をしてるんですか。"""
un_048010_0090#0,"""仰る通り。<br>ヒツギさんやエンガさんについては<br>シエラから情報提供を受けています。"""
un_048010_0100#0,"""ですが、ヒツギさんの情報に一部秘匿されて<br>閲覧できないものがあったのですよ。"""
un_048010_0110#0,"""えっ……閲覧できないもの？"""
un_048010_0120#0,"""はい、とても強力なロックがかかっていました。<br>時期からしておそらく、地球での日常生活の<br>映像情報だとは思うのですが、ね。"""
un_048010_0130#0,"""……あ！"""
un_048010_0135#0,"""たぶん、お風呂を覗いちゃったときのやつです……"""
un_048010_0140#0,"""隠匿された情報、誰の手によるのかも不明。<br>もしそのタイミングで、敵性組織との情報交換等が<br>行われていたら、面倒なことになります。"""
un_048010_0150#0,"""情報部としては、とうてい看過できません。<br>なので、やむを得ず直接の調査に踏み切った。<br>そういう経緯ですね。"""
un_048010_0160#0,"""おや、どうしましたシエラ？<br>少し、顔が引きつっているようですが<br>何か思い当たることでも？"""
un_048010_0170#0,"""い、いえいえいえいえそんなそんな！<br>特に何も！\u3000何でもないですよ！<br>ねえ<%me>さん！"""
un_048010_0180#0,"""<%me>さんも何か<br>ご存じだったりしませんか？"""
un_048010_0190#0,"""１．……何も知らない"""
un_048010_0200#0,"""２．相変わらずだな"""
un_048010_0210#0,"""……そうですか。<br>なら、そういうことにしておきましょう。"""
un_048010_0220#0,"""はてさて、何のことやら。"""
un_048010_0230#0,"""それでは、私は戻ります。<br>仕事が増えてしまいましたので。"""
un_048010_0240#0,"""……仕事が増えた？"""
un_048010_0250#0,"""雑な情報封鎖の犯人がわかったので<br>きちんと後始末をしないと、まずいでしょう。"""
un_048010_0260#0,"""仔細が暴露されようものなら<br>それこそ地球の方々からの印象が<br>地に落ちてしまいますからね。"""
un_048010_0270#0,"""うっ……！<br>わ、わかってて聞きましたね！<br>カスラさん！"""
un_048010_0280#0,"""……シエラ、貴方は優秀ですが<br>まだまだ駆け引きが下手ですね。"""
un_048010_0290#0,"""もっと多くの人と交流して、いずれは<br>私をからかうほどになってくださいね。"""
un_048010_0300#0,"""<%me>さん。<br>お時間を取らせてすみませんでした。<br>それでは、私はこれで。"""
un_048010_0310#0,"""ぐぬぬ……もうー、なんなんですかあの人！<br>は・ら・た・つー！\u3000いつか絶対に<br>ぎゃふんと言わせてやるんですからーっ！"""
