msc_013230_0010#0,"""ただいまー！"""
msc_013230_0020#0,"""おぉ！\u3000キミたちも戻ったか！<br>無事でなによりだ！"""
msc_013230_0030#0,"""タイヴァスとトゥーリから聞いたわ。<br>一緒に戦ってくれたんだって？"""
msc_013230_0040#0,"""あ、うん。<br>ちゃんと会えたよ。"""
msc_013230_0050#0,"""ふたりを助けてくれて、ありがとう。"""
msc_013230_0060#0,"""ううん。<br>困ったときは、お互い様だもん。"""
msc_013230_0070#0,"""手伝うよ。"""
msc_013230_0080#0,"""うん……じゃあお願い。"""
msc_013230_0090#0,"""思い当たるドールズの巣は全部潰してきた……。<br>イルマの痕跡はなしだ。"""
msc_013230_0100#0,"""そうか……リージョン内は全て探したな。<br>うーむ……。"""
msc_013230_0110#0,"""こんな時にイルマがいたら、<br>いいアイデアを出してくれるんだがな。"""
msc_013230_0120#0,"""そのイルマがいないんだ……。"""
msc_013230_0130#0,"""わかってる。"""
msc_013230_0140#0,"""よし！\u3000もう一度、探したところを片っ端から回るぞ！<br>何か見落としてるかもしれないしな。"""
msc_013230_0150#0,"""……オレは当たってみたいところがある。"""
msc_013230_0160#0,"""ん？\u3000どこだ？"""
msc_013230_0170#0,"""ロストセントラル……。"""
msc_013230_0180#0,"""何を言ってるんだ！\u3000あそこは無理だ！"""
msc_013230_0190#0,"""確かにイルマはロストセントラルに<br>興味をもっていたけど……近づかないと思う。"""
msc_013230_0200#0,"""だが、残ってるのはあそこだけだ。"""
msc_013230_0210#0,"""ダメだ！\u3000危険だ！"""
msc_013230_0220#0,"""長男として、行かせることはできない！<br>だいたいお前はいつも勝手が過ぎる！"""
msc_013230_0230#0,"""いいか、<br>こういうときはチームワークを大切にしなければ！"""
msc_013230_0240#0,"""ちょっと落ち着きなさいよ。"""
msc_013230_0250#0,"""こんな時、おじいちゃんがいてくれたら……。"""
msc_013230_0260#0,"""……おじいちゃん。"""
msc_013230_0270#0,"""クッカ、どこへ行くんだ？"""
