name_7710#0,"""ルスラン"""
ssn_014470_0001#0,"""もしかして、<br>エアリオから来たアークスですか？"""
ssn_014470_0002#0,"""……そうですか、<br>ガロアさんのお知り合いでしたか！"""
ssn_014470_0003#0,"""私は以前、<br>ガロアさんに大変お世話になったことがありまして。"""
ssn_014470_0004#0,"""……はい、とても立派なアークスでした。<br>強くて勇敢で、リーダーシップに溢れて、皆から好かれて。"""
ssn_014470_0005#0,"""ですから、話を聞いたときは本当に信じられませんでした。<br>まさか、あのガロアさんが……。"""
ssn_014470_0006#0,"""………。"""
ssn_014470_0007#0,"""そういえば先ほど、娘のアイナさんにも会いました。<br>みなさん、困ったことなどありましたら、遠慮なく言ってください。"""
ssn_014470_0101#0,"""リテムのタワーには、行ったことありますか？"""
ssn_014470_0102#0,"""ガロアさんも昔、挑戦したんです。<br>もちろん、しっかりと踏破しました。"""
ssn_014470_0103#0,"""でも、ガロアさんは言ってました。<br>リテムのタワーは、エアリオ以上に難しいんだそうです。"""
ssn_014470_0104#0,"""どうですか？\u3000あなたも挑戦してみませんか？"""
ssn_014470_0201#0,"""決して無理をしないこと、それが肝心だ。"""
ssn_014470_0202#0,"""って、これはガロアさんが言ってたんですけどね。<br>自分の言葉みたいに言っちゃいましたけど。あはは……。"""
ssn_014470_0203#0,"""それでは、頑張ってください。"""
ssn_014470_0301#0,"""そうですか、わかりました。<br>もし挑戦したくなったら、また声をかけてください。"""
ssn_014470_0401#0,"""私も負けないように、頑張らないと。<br>そしていつか、ガロアさんみたいなアークスに……。"""
ssn_014470_0402#0,"""今回はありがとうございました。<br>とてもいい刺激になりました。"""
