name01#0,"""シエラ"""
text01#0,"""まず、ファントムにおけるロッド<br><red>「ファントムロッド」<c>について<br>訓練しましょう！"""
text02#0,"""ファントムの武器アクションは<br><red>「ファントムシフト」<c>と呼ばれていて<br>武器カテゴリーごとに効果が違います！"""
text03#0,"""ロッドのファントムシフト効果は<br><red>「フォトン弾の発射」<c>です！<br><red>フォトン弾で攻撃<c>してみましょう！"""
text101#0,"""課題２：<yellow>ロッドの武器アクションをエネミーに当てる"""
train_title#0,"""課題２：<yellow>ロッドの武器アクションをエネミーに当てる"""
tut_title#0,"""ロッドの武器アクションについて"""
text100#0,"""・<%PhotonArts>でロッドの武器アクションを<br>\u3000エネミーに当てる"""
text100_3b#0,"""・<%MainPaletteC>でロッドの武器アクションを<br>\u3000エネミーに当てる"""
tut_win_title#0,"""『ファントムロッドの武器アクション』について"""
tut_win_text100#0,"""「ファントムロッド」は<br>武器アクションで「フォトン弾」を放ち、<br>遠距離から攻撃をしつつPP回復を行えます。<br><br>また、武器アクションをチャージすると<br>範囲攻撃に変化し、エネミーの集団に対して<br>特に強力となります。"""
