IncidentName#0,"""Defend Naura's Cake Shop"""
TrialBeginMsg#0,"""ปกป้อง Container สินค้าที่กระจัดกระจายอยู่!"""
TrialAbstract#0,"""ปกป้อง Container สินค้าที่กระจัดกระจายอยู่!"""
ToastOnSuccess#0,"""$(0) เปิดให้บริการแล้ว"""
ToastOnDestroy#0,"""สินค้าถูกทำลายไป 1 ชิ้น เหลืออีก $(0) ชิ้น"""
ToastOnAllDestroy#0,"""Container สินค้าทั้งหมดถูกทำลาย"""
IncidentName#1,"""ナウラのケーキ屋を守れ！"""
TrialBeginMsg#1,"""散らばった商品コンテナを守れ！"""
TrialAbstract#1,"""散らばった商品コンテナを守れ！"""
ToastOnSuccess#1,"""$(0)が開店しました。"""
ToastOnDestroy#1,"""商品が１個破壊されました。残り$(0)個。"""
ToastOnAllDestroy#1,"""すべての商品コンテナが破壊されました。"""
OnBegin#0,"""/mn13 /ci5 5 t5 ...เดี๋ยวนี้เราไม่สามารถเชื่อใจใครได้อีกแล้ว<br>ไม่มีใครช่วยพวกเราหรอก"""
OnDamage#0,"""/mn13 ...สินค้าถูกทำลาย<br>น่าเสียดายจริงๆ"""
OnDestroy#0,"""/mn13 ...ถูกทำลายไปหนึ่ง<br>สินค้าก็ถูกทำลายไปด้วย"""
OnAllDestroy#0,"""/ci5 3 t5 /mn13 ...คงไม่กลับมาที่นี้อีกแล้ว"""
OnSuccess#0,"""/ci1 1 t5 ...ซื้อเค้กซักชิ้นไหม"""
OnBegin#1,"""/mn13 /ci5 5 t5 ……渡る世間は馬鹿ばかり、<br>助けなんていやしない。"""
OnDamage#1,"""/mn13 ……商品が壊れちゃう。<br>……もったいない、もったいない。"""
OnDestroy#1,"""/mn13 ……一個、壊れちゃった。<br>……商品も当然木っ端微塵ね。"""
OnAllDestroy#1,"""/ci5 3 t5 /mn13 ……もう売りに来ないから。"""
OnSuccess#1,"""/ci1 1 t5 ……いいからケーキ買って。"""
OnBegin#2,"""/mn2 /toge /ci3 1 t5 หว่า!<br>ใครก็ได้ช่วยด้วยยย!"""
OnDestroy#2,"""/toge /mn1 ไม่นะ... ถูกทำลายซะแล้ว<br>สินค้าอันมีค่าของพวกเรา...."""
OnAllDestroy#2,"""/mn2 /ci4 3 t5 ทั้งหมดพังหมดเลย!<br>เราเปิดร้านทั้งๆแบบนี้ไม่ได้หรอก..."""
OnLastOne#0,"""/toge อ่า! เหลือสินค้าอีกแค่ชิ้นเดียวเอง!<br>แย่แล้ว แย่แล้ว จะทำยังไงดี?!"""
OnSuccess#2,"""/ci2 2 t5 เฮ้อ... รอดไปที"""
OnFailure#0,"""/mn23 /ci4 t5 คงต้องกลับบ้านทั้งๆแบบนี้ล่ะนะ<br>ฮือ ฮือ..."""
OnBegin#3,"""/mn2 /toge /ci3 1 t5 はわっ、わわわっ！<br>誰か、助けてくださーい！"""
OnDestroy#3,"""/toge /mn1 はわわ……壊されちゃいました。<br>商品が減っちゃいますよぉー……"""
OnAllDestroy#3,"""/mn2 /ci4 3 t5 ぜ、ぜんぶ……全部やられましたぁー！<br>これではもう、お店開けません……"""
OnLastOne#1,"""/toge はわっ！<br>気付けば商品残り一個です！<br>大変大変、大変ですよぉー！"""
OnSuccess#3,"""/ci2 2 t5 ふぅ……助かりましたぁ。"""
OnFailure#1,"""/mn23 /ci4 t5 悲しみを背負って帰ります……<br>くすん、くすん。"""
OnBegin#4,"""/mn2 /ci2 2 t5 หว่า นี้มันเกิดอะไรขึ้นเนี้ย?!<br>ใครก็ได้ช่วยปกป้องสินค้าของข้าที!"""
OnDestroy#4,"""/mn13 หว่า ถูกทำลายซะแล้ว...<br>มีอะไรอยู่ข้างในนั้นน๊า"""
OnAllDestroy#4,"""/mn22 /ci3 1 t5 นั้นเป็นอันสุดท้ายที่เหลือแล้วนะ!<br>เราเปิดร้านโดยที่ไม่มีอะไรขายไม่ได้หรอก!"""
OnSuccess#4,"""/mn15 /ci2 1 t5 เฮ้อ รอดไปที! ขอบคุณมาก!"""
OnBegin#5,"""/mn2 /ci2 2 t5 うわっ、なんかすごいことに！<br>ちょっと誰か、あたしの商品を守って！"""
OnDestroy#5,"""/mn13 あっちゃあ、壊されちゃった……<br>何が入ってたんだっけなぁ。"""
OnAllDestroy#5,"""/mn22 /ci3 1 t5 や、やられたーっ！<br>商品なしで開店なんて<br>出来るわけないじゃない！"""
OnSuccess#5,"""/mn15 /ci2 1 t5 ふー、ありがと！<br>助かったよ！"""
