NameF#0,"""$(0)"""
result1#0,"""オシャレしてみたい！\u3000歌ってみたい！<br>踊ってみたいし遊びたいし、それにー<br>ってもう、書く場所足りないですよー！"""
result2#0,"""なにはともあれギャザリング！<br>あっちでこっちで、みんなみーんな<br>楽しくやって欲しいなー！"""
result3#0,"""改めて書くのも変な感じだけど……<br>ＰＳＯ２でフレンドになったみんなと<br>色々なクエストで楽しく遊びたいな。"""
result4#0,"""オラクルだけでなく地球も平和にする。<br>私の願いは、それだけだ。"""
result5#0,"""みんなを守れる強いアークスに<br>なりたいです！\u3000……あと、できれば<br>リリーパ族さんと仲良くなりたいです！"""
result6#0,"""アークスの皆さんや<br>ジェネちゃん、モアくんたちが<br>日々安全に任務を行えますように。"""
result7#0,"""ペットたちが、素敵な方々と<br>巡り合えますように。"""
result8#0,"""パティエンティアの名が広く知れわたり<br>ほっといても情報が勝手にあたしたちへ<br>集まってきますようにー！\u3000それとー…"""
result9#0,"""パティちゃんが直感頼りだけじゃなく<br>ちゃんと自分の足で情報を集めるように<br>なって欲しいな。……無理だろうけど。"""
result10#0,"""みんなが笑顔でいられますように。<br>……あ、あと、ずっと一緒にいたい人が<br>いるんだけど……って、よくばりすぎ？"""
result11#0,"""願いたいことはいっぱいあるけど<br>自分でなんとかするべきことなのよね。<br>だからお願いは、みんなの無事、かな。"""
result12#0,"""僕の願い？\u3000それは愚問だね！<br>それはただ一つ！\u3000僕の子供達に<br>永遠の愛を伝え続けたい！\u3000だよ！"""
result13#0,"""願い事、とはちょっと違うかもですけど<br>みんなでずっと楽しくＰＳＯ２できれば<br>いいなって思います。"""
result14#0,"""アークスの仲間達と共に<br>終わりなき冒険へと踏み出すこと。<br>些細かもしれないが、それが願いだ。"""
result15#0,"""みんなといろんな所に行けますように！<br>リーダーより強くなれますように！<br>背がおおきくなりますようにっ！"""
result16#0,"""私の元に訪れるアークスの諸君が<br>素晴らしい運に巡り会うことを願うぞ。<br>そのためにも、また来たまえ。"""
result17#0,"""今更、カトリのサボり癖を治そうとは<br>思っていない。あの性根を鍛え直すに<br>十分な時間と場所が欲しいものだ。"""
result18#0,"""願い事……特に無し！<br>むしろ皆、オレに願い事を言ってくれ！<br>オレがその願い、叶えてみせるぞ！"""
result19#0,"""オレぐらいになると願い事なんつーもん<br>必要ねぇけど……ま、強いていうなら<br>身長もちっと欲しかった、だな！"""
result20#0,"""願い事なんて人に言うもんじゃねーけど<br>そうだな……いい加減、無茶ぶりばかり<br>されるのは勘弁願いたい、ってとこか。"""
result21#0,"""ゲッテムハルトさんが帰ってきますように"""
result22#0,"""ルーサーが救われますように"""
result23#0,"""セラフィさんの水着姿を見れますように♪"""
result24#0,"""ヴィヴィアンとエミリア<br>眠っているマトイに<br>この夏再会できますように"""
result25#0,"""ラッピースロットでJP出す"""
result26#0,"""もっとキャストスキーが増えますように<br><br>ﾊｺﾓｱｲｼﾃ!!"""
result27#0,"""みんなから<br>可愛いと言われるキャラを作りたい"""
result28#0,"""ウェポノイドのコス実装されますように!!"""
result29#0,"""今年こそ<br>ユーザーとドゥモニが仲良くなれますように"""
result30#0,"""ガンナーの魅力が皆に伝わりますように"""
result31#0,"""もっと、PSO人口が増えますように！"""
result32#0,"""楽しくPSO2をやりつづけていきたい"""
result33#0,"""フレンドができますように！！<br><br>ぼっちは嫌だー！"""
result34#0,"""アイカに様付けで呼ばれますように"""
result35#0,"""徒花が絶望ではなく<br>希望の実を結びますように\u3000\u3000救うぞ、必ず！"""
result36#0,"""アークスの中で最強になりたい"""
result37#0,"""キャラクターコンテストで入賞したい！"""
result38#0,"""チームやフレンドの皆さんの<br>足を引っ張らないように<br>もっと強くなりたいです！"""
result39#0,"""ソロでチャレ始動クリアしたい"""
result40#0,"""ごちゃごちゃしてる倉庫が片付き…<br>片付いたらいいなぁ"""
result41#0,"""皆に認められるような<br>チームマスターでありたい"""
result42#0,"""今年もチムメンやフレンドと<br>毎日楽しくPSO2ができますように♪"""
result43#0,"""沢山のアークスと交流したい！"""
result44#0,"""フレンドリストの称号が取れますように"""
result45#0,"""PS4やアニメから始める人や<br>今も楽しんでる人達と境界線を超えて<br>絆が深く強く結べますように"""
result46#0,"""チームやShipも越えて<br>いろんなアークスと喋りたい。<br>いや、喋る!!"""
result47#0,"""自分がそうしてもらったように<br>隣のアークスの役に立ちたいです"""
result48#0,"""沼男も愛して!!"""
result49#0,"""みんなが楽しく幸せな<br>アークスライフを送れます様に"""
result50#0,"""ヴィヴィアンをゲットする(｡･A･´∩"""
result51#0,"""PSOでメイン武器だった思い出の品<br>マジカルピースの自力発掘！<br>と言い出して3年弱…今年こそ！"""
result52#0,"""今年こそはレアに恵まれますように"""
result53#0,"""ウェポノイドを全種類コンプリートする！"""
result54#0,"""これを見た人にレアが出ますように…"""
