Back#0,"""Backspace"""
Tab#0,"""Tab"""
Return#0,"""Enter"""
Shift#0,"""Shift"""
Control#0,"""Ctrl"""
Alt#0,"""Alt"""
Pause#0,"""Pause"""
CapsLock#0,"""Caps Lock"""
Kana#0,"""Kana"""
Kanji#0,"""Kanji"""
Escape#0,"""Esc"""
Convert#0,"""Convert"""
Nonconvert#0,"""Nonconvert"""
Space#0,"""Space"""
PageUp#0,"""Page Up"""
PageDown#0,"""Page Down"""
End#0,"""End"""
Home#0,"""Home"""
Left#0,"""←"""
Up#0,"""↑"""
Right#0,"""→"""
Down#0,"""↓"""
PrintScreen#0,"""Print Screen"""
Insert#0,"""Insert"""
Del#0,"""Delete"""
T0#0,"""0"""
T1#0,"""1"""
T2#0,"""2"""
T3#0,"""3"""
T4#0,"""4"""
T5#0,"""5"""
T6#0,"""6"""
T7#0,"""7"""
T8#0,"""8"""
T9#0,"""9"""
A#0,"""A"""
B#0,"""B"""
C#0,"""C"""
D#0,"""D"""
E#0,"""E"""
F#0,"""F"""
G#0,"""G"""
H#0,"""H"""
I#0,"""I"""
J#0,"""J"""
K#0,"""K"""
L#0,"""L"""
M#0,"""M"""
N#0,"""N"""
O#0,"""O"""
P#0,"""P"""
Q#0,"""Q"""
R#0,"""R"""
S#0,"""S"""
T#0,"""T"""
U#0,"""U"""
V#0,"""V"""
W#0,"""W"""
X#0,"""X"""
Y#0,"""Y"""
Z#0,"""Z"""
LWin#0,"""LWin"""
RWin#0,"""RWin"""
Apps#0,"""Apps"""
Sleep#0,"""Sleep"""
Numpad0#0,"""Number Pad 0"""
Numpad1#0,"""Number Pad 1"""
Numpad2#0,"""Number Pad 2"""
Numpad3#0,"""Number Pad 3"""
Numpad4#0,"""Number Pad 4"""
Numpad5#0,"""Number Pad 5"""
Numpad6#0,"""Number Pad 6"""
Numpad7#0,"""Number Pad 7"""
Numpad8#0,"""Number Pad 8"""
Numpad9#0,"""Number Pad 9"""
Multiply#0,"""*"""
Add#0,"""+"""
Subtract#0,"""-"""
Decimal#0,"""."""
Divide#0,"""/"""
F1#0,"""F1"""
F2#0,"""F2"""
F3#0,"""F3"""
F4#0,"""F4"""
F5#0,"""F5"""
F6#0,"""F6"""
F7#0,"""F7"""
F8#0,"""F8"""
F9#0,"""F9"""
F10#0,"""F10"""
F11#0,"""F11"""
F12#0,"""F12"""
F13#0,"""F13"""
F14#0,"""F14"""
F15#0,"""F15"""
F16#0,"""F16"""
F17#0,"""F17"""
F18#0,"""F18"""
F19#0,"""F19"""
F20#0,"""F20"""
F21#0,"""F21"""
F22#0,"""F22"""
F23#0,"""F23"""
F24#0,"""F24"""
NumLock#0,"""Num Lock"""
ScrollLock#0,"""Scroll Lock"""
LShift#0,"""Left Shift"""
RShift#0,"""Right Shift"""
LControl#0,"""Left Ctrl"""
RControl#0,"""Right Ctrl"""
LAlt#0,"""Left Alt"""
RAlt#0,"""Right Alt"""
Colon#0,"""Colon"""
