11_voice_NPC_5050_101#0,"""โอเค ตอนนี้ข้าได้รับรายงานของท่านแล้ว <br>แต่เรายังมองสิ่งที่ยิ่งใหญ่กว่าอยู่"""
text02#0,"""นั่นคือสิ่งที่ ARKS Code บอกให้ข้าพูด <br>แต่ข้าจะขอพูดเป็นการส่วนตัวนะ"""
text03#0,"""การไม่จำกัดการเข้าถึงฟังดูดีนะ <br>แต่มันก็ไม่สามารถรับประกันความปลอดภัยได้ <br>ความจริงแล้วท่านอาจจะเข้าสู่พื้นที่ๆอันตรายมาก"""
text04#0,"""นั่นคือเหตุผลที่ท่านต้องเตรียมตัวอยู่ตลอด"""
text05#0,"""การสำรวจอย่างอิสระจะอนุญาติให้เฉพาะ<br>ผู้ที่สามารถรับมือกับความอันตราย<br>ต่างๆ ได้เป็นอย่างดี """
text100#0,"""Client Order"""
text101#0,"""Echo ได้ออก Client Order<br><br>Echo อยู่ที่เคาท์เตอร์ของ ARKS ในบริเวณประตู"""
text102#0,"""Rubert ได้ออก Client Order  <br><br>Rubert อยู่ที่ Shop Area บริเวณ South Peripassage"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>自由探索許可の申請も滞りなく。<br>より一層の活躍を期待します。"""
text02#1,"""……とまあ、規定の報告文は<br>このような感じで締められています。<br>そのため、ここからは私の言葉です。"""
text03#1,"""自由行動と言えば聞こえがいいですが<br>安全が保証されていないエリアへ<br>立ち入ってしまう危険性もあります。"""
text04#1,"""だからこそ、準備を怠らずに<br>油断をなさらずに動いてください。"""
text05#1,"""生半可な実力では得られない許可です。<br>その意味とその意義を踏まえ、どうか<br>ご自身の身を大事に考えてください。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""エコーにクライアントオーダーが発生しました。<br><br>エコーはゲートエリア・アークスカウンターにいます。"""
text102#1,"""ルべルトにクライアントオーダーが発生しました。<br><br>ルべルトはショップエリア・南外周通路にいます。"""
