IncidentName#0,"""กำจัด Rare Enemy"""
TrialBeginMsg#0,"""กำจัด Rare Enemy !"""
TrialAbstract#0,"""กำจัด Rare Enemy !"""
TargetName#0,"""กำจัดเป้าหมายทั้งหมด"""
IncidentName#1,"""希少エネミー討伐"""
TrialBeginMsg#1,"""希少エネミーを倒せ！"""
TrialAbstract#1,"""希少エネミーを倒せ！"""
TargetName#1,"""討伐対象を全て"""
NpcComOnPreBegin#0,"""ยืนยันการกำจัดเป้าหมาย...เอ๊ะ เดี๋ยวนะคะ<br>เรดาห์บอกว่ายังมีศัตรูอยู่อีกค่ะ<br>ทุกคนช่วยกันสำรวจให้ทีนะคะ"""
NpcComOnBegin#0,"""ยืนยันการปรากฏตัวของศัตรูหายาก<br>ทุกคนคะ เตรียมตัวรับมือค่ะ"""
NpcComOnSuccess#0,"""ขอบคุณมากค่ะ<br>ที่ช่วยกำจัดให้ด้วยความรวดเร็ว"""
NpcComOnPreBegin#1,"""目標の達成を確認……いえ、これは<br>別の敵性反応を確認しました。<br>各員、周囲を警戒して下さい。"""
NpcComOnBegin#1,"""希少種の反応を確認しました。<br>各員、対処をお願いします。"""
NpcComOnSuccess#1,"""お疲れ様でした。<br>迅速な対処に感謝します。"""
NpcComOnPreBegin#2,"""ยืนยันการกำจัดเป้าหมาย...อ๊ะ เดี๋ยวก่อน<br>เรดาห์บอกว่ายังมีศัตรูอยู่<br>รีบค้นหาเร็วเข้า"""
NpcComOnBegin#2,"""ศัตรูหายากนี่เองสินะ...<br>ทุกนาย รีบกำจัดมันทิ้งซะ"""
NpcComOnSuccess#2,"""เป้าหมายทั้งหมดถูกกำจัดเรียบร้อย<br>ทำได้ดีมาก"""
NpcComOnPreBegin#3,"""目標の達成を確認した……いや、待て。<br>まだ周囲に反応がある。<br>警戒を怠るな。"""
NpcComOnBegin#3,"""希少なエネミーのようだな……<br>各員、速やかに対処せよ。"""
NpcComOnSuccess#3,"""反応、完全に消失。<br>不意の敵襲だったが、よくやったな。"""
NpcComOnPreBegin#4,"""ยืนยันการกำจัดเป้าหมาย...เอ๊ะ เอ๊ะเอ๊ะ ?<br>ดูเหมือนเรดาห์บอกว่ายังมีศัตรูอยู่อีก...<br>ระวังตัวกันให้ดีนะค้า !"""
NpcComOnBegin#4,"""อื้มม ดูเหมือนจะเจอศัตรูหายากเข้าแล้วค่ะ !<br>ช่วยกำจัดมันให้ทีนะค้า !"""
NpcComOnSuccess#4,"""ไม่นึกเลยว่าจะมีตัวแบบนี้อยู่ด้วย<br>แต่ก็ไม่ค่อยเท่าไหร่นะคะ ขอบคุณมากค่า !"""
NpcComOnPreBegin#5,"""目標の達成を確認……って、あれれ？<br>さらに敵さんの反応があるような……<br>注意注意、気をつけて下さいー！"""
NpcComOnBegin#5,"""むむっ、珍しい敵さんまで<br>来ちゃったみたいですね！<br>対処をよろしくお願いしますー！"""
NpcComOnSuccess#5,"""珍しいこともあるものですねぇ。<br>なにはともあれ、お疲れ様ですっ！"""
