name_7199#0,"""グイーデン"""
ssn_014381_0010#0,"""よし、では話をしよう。"""
ssn_014381_0020#0,"""戦闘力を上げるには、<br>まずエネミーと戦って経験を積むといい。"""
ssn_014381_0030#0,"""装備品を鍛えることも肝要だ。<br>それと、武器の潜在能力の解放も。"""
ssn_014381_0040#0,"""これらを改めて、行ってみてほしい。<br>基礎を確認することで、キミの技術の幅もさらに広がるだろう。"""
ssn_014381_0050#0,"""そうだな……、強化に必要なアイテムを渡そう。<br>手持ちがなければ、これを使うといい。"""
ssn_014381_0060#0,"""是非、取り組んでみてくれ。"""
ssn_014381_1011#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1021#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1031#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1041#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1051#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1061#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1071#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1081#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1091#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_2010#0,"""フォトンチャンクを5個、N-グラインダーを5個、1000<pict reb_meseta>メセタを入手しました。"""
ssn_014381_1010#0,"""エヴォルコートソード＋49、エヴォルコートワイヤー＋49、エヴォルコートスピア＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1020#0,"""エヴォルコートダガー＋49、エヴォルコートセイバー＋49、エヴォルコートナックル＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1030#0,"""エヴォルコートライフル＋49、エヴォルコートランチャー＋49、エヴォルコートマシンガン＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1040#0,"""エヴォルコートライフル＋49、エヴォルコートランチャー＋49、エヴォルコートマシンガン＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1050#0,"""エヴォルコートロッド＋49、エヴォルコートタリス＋49、エヴォルコートウォンド＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1060#0,"""エヴォルコートロッド＋49、エヴォルコートタリス＋49、エヴォルコートウォンド＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1070#0,"""エヴォルコートカタナ＋49、エヴォルコートボウ＋49、エヴォルコートブーツ＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1080#0,"""エヴォルコートブーツ＋49、エヴォルコートブレード＋49、エヴォルコートボウ＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1090#0,"""エヴォルコートタクト＋49、エヴォルコートカタナ＋49、エヴォルコートブレード＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1100#0,"""エヴォルコートスラッシュ＋49、エヴォルコートブーツ＋49、エヴォルコートタクト＋49、キャトリアアーマ＋49、N-グラインダーを10個"""
ssn_014381_1101#0,"""フォトンチャンクを100個、モノタイトを40個、デュアロマイトを40個、トライナイトを40個、300000<pict reb_meseta>メセタを入手しました。"""
