un_012155_0010#0,"""<%me><br>你好。<br>看來你還有問題想問呢。"""
un_012155_0020#0,"""我會開口說這麼多<br>難道很奇怪麼？<br>為什麼會從事這個工作？"""
un_012155_0030#0,"""......的確以行走在黑暗的立場，<br>我這算是不合格的舉止呢。<br>什麼機密都沒了。"""
un_012155_0040#0,"""但是，這樣就好。<br>我原本就已經被烙上<br>不合格的烙印......"""
un_012155_0050#0,"""要不是長得還不錯，<br>就算當場被處分<br>大概一點也不奇怪。"""
un_012155_0060#0,"""你大概也察覺到了吧。"""
un_012155_0070#0,"""我真的不適合這種工作。<br>擺明了說，我不具備適合性。"""
un_012155_0080#0,"""站在表面舞台扮演偶像<br>同時收集情報的角色，<br>百分之百適合我。"""
un_012155_0090#0,"""但目前除了我以外沒別人了。<br>因為哈德烈破壞了一切。<br>......除了我以外沒人可以擔任。"""
un_012155_0100#0,"""所以，我會在這裡。<br>忠實的執行著<br>比誰都不適任的任務。"""
un_012155_0110#0,"""......因為，那是命令。"""
un_012155_0120#0,"""A.P.238/4/20"""
