msc_013310_5010#0,"""Dah!"""
msc_013310_5020#0,"""Haah!"""
msc_013310_5030#0,"""Ha!"""
msc_013310_0010#0,"""Hmph!"""
msc_013310_5040#0,"""Ha!"""
msc_013310_5050#0,"""Ha!"""
msc_013310_5060#0,"""Da!"""
msc_013310_5070#0,"""Haah!"""
msc_013310_0020#0,"""Haah!"""
msc_013310_5080#0,"""Hah!"""
msc_013310_5090#0,"""Ragh!"""
msc_013310_5100#0,"""Yaah!"""
msc_013310_5110#0,"""Huh?"""
msc_013310_0030#0,"""There are so many...!"""
msc_013310_0040#0,"""Taivas!"""
msc_013310_0050#0,"""Meri! Distract them!"""
msc_013310_0060#0,"""Huh?!"""
msc_013310_0070#0,"""Tulli, over there!"""
msc_013310_0080#0,"""I'm on it..."""
msc_013310_5120#0,"""Yaaaagh!"""
msc_013310_5130#0,"""Eya!"""
msc_013310_5140#0,"""Yah!"""
msc_013310_5150#0,"""Whew."""
msc_013310_0090#0,"""Ah...!"""
msc_013310_5160#0,"""Huh!"""
msc_013310_0100#0,"""Ilma!"""
msc_013310_0110#0,"""You okay?"""
msc_013310_5170#0,"""Haagh!"""
msc_013310_0120#0,"""Haah!"""
msc_013310_0130#0,"""That was amazing!"""
msc_013310_0140#0,"""They work well together."""
msc_013310_5180#0,"""Ah!"""
msc_013310_5190#0,"""Hah!"""
msc_013310_0150#0,"""We'll take care of this one!"""
