name01#0,"""Echo"""
name01#1,"""エコー"""
11_voice_NPC_5002_100#0,"""โอเค มาเริ่มกันเลย!"""
text02#0,"""อืมมม? เป้าหมายในครั้งนึ้คืออะไร?<br>ดีละ มันคือการฝึกฝน สำหรับข้านะ"""
text03#0,"""ข้าคือเจ้าหน้าที่ ARKS และข้าภูมิใจในหน้าที่<br>นั่นคือเหตุที่ข้าอยากจะเก่งขึ้น"""
text04#0,"""แม้ข้าจะไม่พัฒนาขนาดนั้น<br>แต่ข้าก็ไม่เป็นภาระกับ Zeno แน่..."""
text05#0,"""เอาอีกล่ะ ข้าไปไกลเกิ๊นน! ลืมที่ข้าพูดไปเถอะ!<br>จงกลับไปทำ Client Order! รีบไป!"""
11_voice_NPC_5002_100#1,"""さーって、それじゃ始めましょ！"""
text02#1,"""……ん？\u3000今回の目的？<br>あたしの特訓みたいなもの、かな。"""
text03#1,"""あたしだってアークスだからね。<br>それなりに意地や誇りはあるんだよ？<br>だから、ちょっとでも強くなりたい。"""
text04#1,"""……ううん、強くなれないとしても<br>もう少し、ゼノの役に立てるように<br>なりたいから……"""
text05#1,"""……ああっと、そんな話はいいの。<br>依頼依頼、状況開始っと！"""
