name_7444#0,"""키리시마"""
ssn_015303_0010#0,"""받아 주시는 건가요?<br>고마워요."""
ssn_015303_0020#0,"""실은 조금 전에 조사원 중 한 명이<br>플랜트 내에 낙오됐다는 연락이 들어왔어요."""
ssn_015303_0030#0,"""아무래도 돌즈한테 습격 받아서<br>후퇴하다 그렇게 됐다나 봐요……."""
ssn_015303_0040#0,"""아직 수습 아크스인 치토세라는 애에요.<br>저도 자주 도와주곤 했죠."""
ssn_015303_0050#0,"""그래서 더 걱정되네요……."""
ssn_015303_0060#0,"""생체반응은 확인되는 걸로 보아 무사한 것 같아요.<br>그런데 마그가 고장났는지, 통신이 안 되고 있어요."""
ssn_015303_0070#0,"""다른 대원들도 구출을 위해 움직이는 중이에요.<br>……하지만 사람이 부족해서."""
ssn_015303_0080#0,"""그래서 당신의 힘을 빌리고 싶어요.<br>꼭 구해주세요."""
ssn_015303_0090#0,"""저도 같이 가고 싶지만,<br>전 실력이 안 좋아서 방해만 될 거에요……."""
ssn_015303_0100#0,"""반응이 잡혔던 위치 정보를 보내드릴게요.<br>부탁드립니다……！"""
