11_voice_NPC_5050_101#0,"""โอเค ข้าได้รายงานท่านแล้ว <br>ท่านผ่านทุกเงื่อนไขการทดสอบ"""
text02#0,"""ข้าอนุญาติให้ท่าน <%me><br>เลือกคลาส Fighter"""
text03#0,"""แต่ขอข้าแนะนำหน่อย<br>คลาสใหม่จะเป็นทางเลือกให้กับท่านในการต่อสู้"""
text04#0,"""แต่ไม่ได้หมายความว่าท่านจะแข็งแกร่งขึ้น"""
text05#0,"""แต่อย่าลืมดูเรื่องความปลอดภัยด้วยล่ะ <br>เราไม่อยากเสียท่านไป"""
text100#0,"""Fighters"""
text101#0,"""Fighters คืออาชีพที่ถนัดการต่อสู้ระยะประชิดโดยใช้อาวุธประชิดตัว<br>พวกเขาเคลื่อนที่ว่องไวและหาช่องโหว่ในการป้องกันตัวของศัตรูเพื่อจู่โจมเข้าไปอย่างต่อเนื่อง<br>ในทางกลับกัน พวกเขามีการป้องกันที่ไม่ดีนักหากเทียบกับการโจมตี"""
text102#0,"""การโจมตีของ Fighter จะรุนแรงมากขึ้นถ้าเข้าใจสถานะศัตรูและวิธีการโจมตี"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>ファイタークラス使用を許可します。"""
text03#1,"""……さて、ここからは私の言葉。<br>新たなクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『ファイター』について"""
text101#1,"""ファイターについて説明します。<br><br>ファイターは打撃武器による近接戦闘を得意とするクラスです。<br><br>軽快な動きで敵の隙をつき、手数の多さで圧倒します。<br>反面、防御力が低い為、攻撃を受けないよう注意が必要です。"""
text102#1,"""ファイターの攻撃は<br>エネミーの状態と攻撃方法の組み合わせにより<br>条件を満たすことでダメージボーナスが得られます。"""
