name01#0,"""Oza"""
name01#1,"""オーザ"""
text01#0,"""โอ้ ดูเหมือนจะเริ่มฝึกการใช้ดาบแล้วซินะ"""
text02#0,"""ถ้าเป็น Hunter แล้วล่ะก็ถึงแม้จะมีข้อจำกัด<br>หรือสิ่งที่ไม่สามารถหาเหตุผลได้ <br>ก็จะพยายามจนก้าวข้ามไปได้แน่นอน"""
text03#0,"""Sword"""
text04#0,"""เมื่อท่านได้เรียนการใช้ Sword Gear <br>จะมีแถบ Gear เพิ่มขึ้นมาที่ด้านบนของ Weapon Palette<br>แถบ Gear จะเพิ่มขึ้นตามจำนวนครั้งที่โจมตีใส่ศัตรูด้วยดาบ"""
text05#0,"""เมื่อแถบ Gear เพิ่มขึ้น ระยะโจมตีของ Photon Move ของท่าน<br>จะขยายตามทำให้ได้เปรียบในการต่อสู้<br><br>แถบ Sword Gear ลดลงไปตามเวลา <br>แนะนำให้พยายามต่อสู้เพื่อรักษาระดับให้สูงให้นานที่สุด"""
text01#1,"""おっ、ソードの練習<br>始めるみたいだな。"""
text02#1,"""ハンターなら、ある程度の無理や無茶も<br>なんとかなる、頑張ってこいよ。"""
text03#1,"""『ソード』について"""
text04#1,"""ソードのギアシステムについて、説明します。<br><br>スキル「ソードギア」を習得している場合には、<br>武器パレットの上部にギアゲージが追加されます。<br>ソードの攻撃をヒットさせると、ギアゲージが蓄積されていきます。"""
text05#1,"""ギアゲージが高まるとフォトンアーツの攻撃範囲が広くなり<br>戦闘を有利に進めることができます。<br><br>ソードギアのゲージは時間経過で減少するため、<br>ギアゲージを高めに維持しながら戦うとよいでしょう。"""
