un_012280_0010#0,"""大家好，開心麼！<br>琶提小姐是也！<br>感謝各位今天的參與！"""
un_012280_0020#0,"""你好，我是提雅。<br>家姐突然不正常了，<br>請多包涵。"""
un_012280_0030#0,"""好了啦，琶提。<br>偶像模仿人家沒反應，<br>趕快切到下個話題比較好。"""
un_012280_0040#0,"""唔......！<br>今天呢，要向各位前來參加的嘉賓<br>吐露一件事情喔！"""
un_012280_0050#0,"""咦，還要繼續啊！？"""
un_012280_0060#0,"""ARKS的研究機構！<br>就是俗稱研究部的地方，<br>大家聽過沒有啊？"""
un_012280_0070#0,"""有非常多的黑色傳聞指出，<br>當地進行著許多遊走邊緣的事情，<br>就在不久之前，那裡出了意外呢！"""
un_012280_0080#0,"""看上去是在模仿，<br>實際上一點精髓都沒有！<br>還有，這個話題不能大聲講！"""
un_012280_0090#0,"""詳細情況還不清楚，<br>或許在進行相當勉強的實驗吧！"""
un_012280_0100#0,"""那麼，大家再見！<br>感謝各位今天的參與！"""
un_012280_0110#0,"""......真是抱歉。<br>我想她只是想感受那種氣氛。"""
un_012280_0120#0,"""如果你願意轉身走人的話，<br>我想她應該會感到非常滿足......"""
