name#0,"""เกี่ยวกับเมนูหลัก"""
name#1,"""メインメニューについて"""
text01#0,"""<yellow>[เมนูหลัก]<c><br><br>- เมนูหลักคือหน้าต่างที่ใช้เรียกฟังก์ชั่นพื้นฐานของเกม<br>เช่นการเปลี่ยนของสวมใส่ หรือดูสถานะตัวละคร ฯลฯ<br><br> - เมื่อท่านได้รับเชิญเข้าร่วมปาร์ตี้หรือคำร้องขออื่นๆ <br> ไอคอนที่เกี่ยวข้องกับคำร้องขอนั้นๆ จะปรากฏขึ้น <br> ซึ่งการกดเลือกไอคอนจะเข้าสู่ระบบนั้นได้โดยตรง"""
text02#0,"""<yellow>[อธิบายแต่ละฟังก์ชั่น (1/4)]<c><br><br>[รายชื่อ Mag] *ปุ่ม F4<br> - ดูสถานะต่างๆ ของ Mag<br><br>[ช่องเก็บของ] *ปุ่ม F2<br> - ที่สำหรับจัดการไอเทมของท่าน<br><br>[สวมใส่อาวุธ] *ปุ่ม F5<br> - ที่สำหรับสวมใส่อาวุธ"""
text03#0,"""<yellow>[อธิบายแต่ละฟังก์ชั่น (2/4)]<c><br><br>[สวมใส่เครื่องป้องกัน] *ปุ่ม F6<br> - ที่สำหรับสวมใส่เครื่องป้องกัน<br><br>[Sub-Palette] *ปุ่ม F7<br> - ที่สำหรับจัดการไอเทม<br><br>[เมนูลัด] *ปุ่ม F9<br> - การใช้งานคำสั่งลัดหรือการแสดง Emotion"""
text04#0,"""<yellow>[อธิบายแต่ละฟังก์ชั่น (3/4)]<c><br><br>[จดหมาย] *ปุ่ม F8<br> - ดูรายละเอียดจดหมายที่ส่งให้กับผู้เล่น<br><br>[ตั้งค่า Photon Move, Photon Magic] *ปุ่ม F3<br> - สำหรับปรับแต่ง Photon Move, Photon Magic<br><br>[AC Scratch] *ปุ่ม F11<br> - สำหรับเล่น Scratch เพื่อลุ้นรับของสุดพิเศษ"""
text05#0,"""<yellow>อธิบายแต่ละฟังก์ชั่น (4/4)]<c><br><br>[Matter Board] *ปุ่ม F10<br> - ดูรายละเอียดของ Matter Board <br><br>[ออกจากระบบ] *ปุ่ม F12<br> - บันทึกสถานะตัวละครและออกจากเกม"""
text01#1,"""<yellow>●メインメニューとは<c><br><br>\u3000・ゲームの基本的な機能を呼び出すウィンドウです。<br>\u3000\u3000装備の変更やキャラクターステータスの確認など、<br>\u3000\u3000様々な項目があります。<br><br>\u3000・またパーティーからの招待などを受け取った場合、<br>\u3000\u3000新着項目の中に対応したアイコンが表示されます。<br>\u3000\u3000これを選択すると、関連した機能が直接呼び出されます。"""
text02#1,"""<yellow>●各機能の説明 (1/4)<c><br><br>\u3000【キャラクター情報】\u3000※[F4]キー<br>\u3000\u3000・自分のステータスなどを確認可能です。<br><br>\u3000【アイテムパック】\u3000※[F2]キー<br>\u3000\u3000・所持アイテムの確認や、装備などが可能です。<br><br>\u3000【パーティー】\u3000※[F5]キー<br>\u3000\u3000・パーティーへの参加や、関連設定が可能です。"""
text03#1,"""<yellow>●各機能の説明 (2/4)<c><br><br>\u3000【フレンドリスト】\u3000※[F6]キー<br>\u3000\u3000・フレンドの状態などを確認可能です。<br><br>\u3000【メール】\u3000※[F7]キー<br>\u3000\u3000・受信したメールの閲覧や、管理が可能です。<br><br>\u3000【プレイヤーリスト】\u3000※[F9]キー<br>\u3000\u3000・近くのプレイヤーにフレンド申請やパーティー勧誘が可能です。"""
text04#1,"""<yellow>●各機能の説明 (3/4)<c><br><br>\u3000【マクロ設定】\u3000※[F8]キー<br>\u3000\u3000・チャットのショートカットやオートワードを設定可能です。<br><br>\u3000【エリアマップ】\u3000※[F3]キー<br>\u3000\u3000・クエスト中、現在のエリアの大きなマップを確認可能です。<br><br>\u3000【キーボードヘルプ】\u3000※[F11]キー<br>\u3000\u3000・キーボードの各キーの機能を確認可能です。"""
text05#1,"""<yellow>●各機能の説明 (4/4)<c><br><br>\u3000【コンフィグ】\u3000※[F10]キー<br>\u3000\u3000・ゲームの設定を変更可能です。<br><br>\u3000【ログウィンドウ】<br>\u3000\u3000・ログウィンドウの表示・非表示を切り替え可能です。<br><br>\u3000【ログアウト】\u3000※[F12]キー<br>\u3000\u3000・ゲームの進行状態をセーブし、ゲームを終了します。"""
