un_012120_0010#0,"""嗯？\u3000你說和那個狀況下<br>講話語氣差太多？"""
un_012120_0020#0,"""一樣的話，不就破功了嘛！<br>基本上會站在這裡的<br>可是微服出訪模式的人家耶？"""
un_012120_0030#0,"""只要想成在演戲，<br>要飾演幾種人格都可以！"""
un_012120_0040#0,"""扮演偶像的『人家』！"""
un_012120_0050#0,"""執行處置的『我』。"""
un_012120_0060#0,"""這就是角色扮演啊！"""
un_012120_0070#0,"""不過，真正的我<br>又是哪一個呢？"""
un_012120_0080#0,"""......不，不就是這樣嗎。"""
un_012120_0090#0,"""人家真正的我，又到底在哪裡呢？<br>哈哈......似乎早就忘掉了呢。"""
un_012120_0100#0,"""A.P.238/4/18"""
un_012120_0010#1,"""んん？\u3000あっちの状態と<br>ずいぶん口調が違うって？"""
un_012120_0020#1,"""同じだったらバレちゃうじゃん！<br>一応ここにいるのだって<br>お忍びモードのあたしなんだよ？"""
un_012120_0030#1,"""役割を演じるって思えば<br>人格はいくらでも作り出せるの！"""
un_012120_0040#1,"""アイドルを演じる『あたし』！"""
un_012120_0050#1,"""始末を遂行する『わたし』。"""
un_012120_0060#1,"""演じるってのは、そういうこと！"""
un_012120_0070#1,"""じゃあ、本当のあたしは<br>どれなんだろうね？"""
un_012120_0080#1,"""……ううん、そうじゃないか。"""
un_012120_0090#1,"""本当のあたしは、どこにあるんだろう？<br>ははっ……もう、忘れちゃったな。"""
un_012120_0100#1,"""A.P.238/4/18"""
