name_7718#0,"""월라스"""
ssn_014500_0001#0,"""보내준 데이터는<br>소중하게 간직할게."""
ssn_014500_0002#0,"""고마워. 덕분에 좋은 시간을 보냈어.<br>그럼 몸조심해."""
ssn_014500_0101#0,"""음, 너구나.<br>어서 와."""
ssn_014500_0102#0,"""네 덕분에 레누스 리템을 격퇴했지만……,<br>돌즈의 습격은 앞으로도 있겠지."""
ssn_014500_0103#0,"""그래서 나도 여기서<br>벗어날 수 있을 것 같지가 않네."""
ssn_014500_0104#0,"""そこで, 頼みたいことがあるんだ."""
ssn_014500_0201#0,"""ルーフ・マクアドの頂上からの<br>景色が見てみたいんだ."""
ssn_014500_0202#0,"""だが, マクアドには, まだ돌즈がいるはずだ.<br>十分気をつけてな."""
ssn_014500_0301#0,"""では, トリニテスへ向かってくれ."""
ssn_014500_0302#0,"""だが, 別に急がなくていい.<br>余裕のある時で構わないからな."""
ssn_014500_0401#0,"""うむ, 仕方ない.<br>また来てくれ."""
ssn_014500_0501#0,"""うむ, 画像データもありがとう.<br>あちこち振り回して, 悪かったな."""
ssn_014500_0502#0,"""いつかこの礼はさせてくれ.<br>では, 気をつけてな."""
