Begin#0,"""เริ่ม 5008"""
Success#0,"""สำเร็จ 5008"""
Failure#0,"""ล้มเหลว 5008"""
Dead#0,"""ตนเองเสียชีวิต 5008"""
BuddyDead#0,"""Partner เสียชีวิต 5008"""
Evolution#0,"""พัฒนา 5008"""
Begin#1,"""開始5008"""
Success#1,"""成功5008"""
Failure#1,"""失敗5008"""
Dead#1,"""自分死亡5008"""
BuddyDead#1,"""相手死亡5008"""
Evolution#1,"""発展5008"""
Begin#2,"""/mn2 /ci4 4 อ๊ะ ท่านอาจารย์! ดีจังเลย!<br>กรุณาช่วยผมทีเถอะ! เรื่องศัตรูน่ะก็ใช่อยู่หรอก<br>แต่คุณ Huey เองก็หยุดไม่อยู่ด้วยแล้วเหมือนกันครับ!"""
Success#2,"""/mn15 /ci2 1 t5 อ๊ะ คะ ครับ!<br>......ทำไมผมถึงได้มาทำการ<br>ค้นหากับคุณ Huey ได้น้า"""
Failure#2,"""/mn4 ผมสู้มากกว่านี้ไม่ไหวแล้ว......<br>......ขอโทษนะครับ ท่านอาจารย์<br>แต่ผมขอถอนตัวออกไปก่อนล่ะครับ"""
Dead#2,"""/mn1มาค้นหาร้านเค้กแท้ๆ แต่ทำไมมันถึง<br>ได้กลายเป็นแบบนี้ ผมรู้สึกเจ็บใจครับ......!"""
BuddyDead#2,"""/mn23 /ci5 คะ  คุณ Huey! เวลาแบบนี้ยังจะมา<br>แกล้งตายอีกเหรอครับ!? ทะ ท่าทางพวกเรา<br>คงจะต้องพยายามกันเองซะแล้วล่ะครับ!"""
Begin#3,"""/mn2 /ci4 4 あ、先生！\u3000よかった！<br>助けてください！\u3000エネミーもですが<br>ヒューイさんが止まりません！"""
Success#3,"""/mn15 /ci2 1 t5 あっ、は、はいっ！<br>……どうして自分はヒューイさんと<br>一緒に探索してるんだろう。"""
Failure#3,"""/mn4 自分、これ以上は無理です……<br>……すみません、先生<br>先に退かせてもらいます。"""
Dead#3,"""/mn1 ケーキ屋探索がどうしてこんなことに。<br>自分、くやしいです……！"""
BuddyDead#3,"""/mn23 /ci5 2 ひゅ、ヒューイさん！<br>こんなときにやられたフリですか！？<br>じ、自分たちが頑張るしか！"""
