name_7010#0,"""ナーデレフ"""
name_7034#0,"""ルーシア"""
msn_041090_0010#0,"""来たか。ここは昔、私がよく足を運んでいたところだ。"""
msn_041090_0020#0,"""リテムのリーダーになったばかりの頃……迷い、立ち止まって、<br>それでも前に進まなければならなかった、あの頃に。"""
msn_041090_0030#0,"""きれいな場所……。<br>でも風が強くて、何だかさらわれちゃいそう。"""
msn_041090_0040#0,"""そうだな。この風は、いろいろなものを運んでいく。<br>迷いも、痛みさえも。"""
msn_041090_0050#0,"""お前の言葉を聞いて、思い出したよ。<br>私も昔、自分を“空っぽ”だと思ったことがあった、とな。"""
msn_041090_0060#0,"""空っぽ……？\u3000あなたも？"""
msn_041090_0070#0,"""ああ。幼い頃の私は、リテムのリーダーだった母のもとで育ち、<br>自分にも、母と同じように、民を導く“歌”の力があると信じていた。"""
msn_041090_0080#0,"""……だが、自分がリーダーの座についた時。<br>一族が代々持っていたその力が、私にはないことがわかった。"""
msn_041090_0090#0,"""自分が、急に空っぽになってしまったように感じた。<br>リーダーを名乗っていいのかとすら悩んだ。"""
msn_041090_0100#0,"""そんなふうに思いながら……<br>どうやって、前に進めるようになったの？"""
msn_041090_0110#0,"""もちろん、すぐに答えが出たわけじゃない。しかし、母と同じには<br>なれなくとも、私には私の道があるはずだと信じて、必死で探し続けた。"""
msn_041090_0120#0,"""力をつけ、民の言葉に耳を傾け……それを重ねるうちに、<br>いつの間にか、私を頼りにしてくれる民たちが増えていった。"""
msn_041090_0130#0,"""気が付けば、私は、リーダーとして、<br>胸を張って皆の前に立てるようになっていた。"""
msn_041090_0140#0,"""ナーデレフはちゃんと前に進んできた。"""
msn_041090_0150#0,"""みんなナーデレフを信じている。"""
msn_041090_0160#0,"""ふっ……そう見えるのならば、何よりだ。"""
msn_041090_0170#0,"""そしてお前たちと出会い、ともに戦う中で<br>自分の内に眠る力にも気付くことができた。感謝している。"""
msn_041090_0180#0,"""ありがとう。<br>そう言ってもらえると、少し救われる。"""
msn_041090_0190#0,"""あの時お前たちが力を貸してくれたからこそ、内なる力に気付き、<br>民たちを救うことができた。礼を言う。"""
msn_041090_0200#0,"""……ルーシア。記憶を取り戻せるのならば、それも悪いことではない。<br>きっとそれも、お前の大切な願いだ。"""
msn_041090_0210#0,"""しかし、大切なものが、<br>失われた過去の中にしかないとは、私は思わない。"""
msn_041090_0220#0,"""たとえわずかでも、今、お前の中にあるものも、ちゃんとお前の一部だ。<br>そして、お前の隣には、ともに歩んでくれる人たちがいる。"""
msn_041090_0230#0,"""……そっか。<br>今の私にも、あるもの……。"""
msn_041090_0240#0,"""これから先、焦ることも、立ち止まることもあるだろう。<br>そんな時は、今の私の話を思い出してくれ。"""
msn_041090_0250#0,"""お前たちの行く先に、いい風が吹くように。<br>民たちと、そう祈っているよ。"""
