un_025040_0010#0,"""哇啊！<br>……你、你啊！"""
un_025040_0020#0,"""<%me>！<br>好時機！<br>不要就這樣放開啊！"""
un_025040_0030#0,"""別再靠近我了、修伊！<br>靠近的話、就炸了你！"""
un_025040_0040#0,"""那就告訴我吧。<br>你爲什麼要逃跑。"""
un_025040_0050#0,"""因爲修伊在追我！<br>我不是說過了嗎！"""
un_025040_0060#0,"""我的事、已經夠了吧！<br>我的事情……！<br>我……怎麼會……！"""
un_025040_0070#0,"""混蛋！<br>你以爲我是誰！"""
un_025040_0080#0,"""說這種話的人，就是我！<br>你以爲我可以置之不理嗎！"""
un_025040_0090#0,"""但是，我……說到底<br>我只是被製作出來的倣製品……<br>做不到的……"""
un_025040_0100#0,"""這杖、名譽、力量全都……<br>全部都是被給予的贗品……<br>……我、沒有價值。"""
un_025040_0110#0,"""……你也是這麼想吧？<br>我只是個倣製品<br>根本沒有價值……"""
un_025040_0120#0,"""１．沒有那樣的事"""
un_025040_0130#0,"""２．……也許是那樣"""
un_025040_0140#0,"""哈哈，太拘泥於細節了<br>克拉莉絲克蕾絲。<br>這可不像你。"""
un_025040_0150#0,"""我理解你想否定我的心情<br>但我也和這傢伙一樣<br>告訴你沒有那樣的事！"""
un_025040_0160#0,"""……確實，也許是這樣。<br>現在的你，沒有價值吧。"""
un_025040_0170#0,"""為什麼呢，因為我自己<br>是這麼斷定的！"""
un_025040_0180#0,"""但是……！"""
un_025040_0190#0,"""……聽好了、克拉莉絲克蕾絲。<br>從現在開始，好好聽我說的話。"""
un_025040_0200#0,"""那是……"""
un_025040_0205#0,"""和你長得一模一樣！"""
un_025040_0210#0,"""是……怎麼可能呢！"""
un_025040_0220#0,"""修伊你也看到了吧！<br>不管怎麼看、我……我……<br>不就是我的尅隆人嗎！"""
un_025040_0221#0,"""我也是！<br>我也是尅隆人！"""
un_025040_0222#0,"""……全部調查了。全都知道了。<br>我沒有意義，也沒有價值。<br>因為我也是尅隆人之一……"""
un_025040_0230#0,"""什麼啊，你知道尅隆嗎。<br>那麼從一開始就這麼說吧。<br>而且，不要逃避這個事實"""
un_025040_0240#0,"""然後，我再說一遍！<br>那只是和你長得一模一樣的<br>……但絕對不是你！"""
un_025040_0250#0,"""誒……？"""
un_025040_0260#0,"""因爲不那樣的話<br>我就會殺了很多的你！<br>那樣的事，絕對不要！"""
un_025040_0270#0,"""所以那不是你！<br>是盧瑟產生的<br>我和你、共同的敵人！"""
un_025040_0280#0,"""那麼、克拉莉絲克蕾絲。<br>那時的你是我的敵人。<br>……那麼，現在怎麼樣？"""
un_025040_0290#0,"""……我是、敵人啊？<br>做了那麼過分的事啊？"""
un_025040_0300#0,"""明明說了過分的話……"""
un_025040_0310#0,"""……儘管如此修伊還是<br>能原諒這樣的我嗎？"""
un_025040_0320#0,"""愚蠢的問題！"""
un_025040_0330#0,"""哈哈哈……哈哈哈……<br>修伊真是個笨蛋。"""
