ar_or010100#0,"""No.1<br>จงไปเคลียร์ Client order ของ Afin<br> [Check weapon switching again!]<br>"""
ar_or010101#0,"""No.2<br>จงไปเคลียร์ Client order ของ Afin <br>[Photon Move Setting?]<br>"""
ar_or010102#0,"""No.3<br>จงไปเคลียร์ Client order ของ Afin<br>[What kind of skill should I select?]<br>"""
ar_or010103#0,"""No.4<br>จงไปเคลียร์ Client order ของ Afin <br>[Uneasy Medical Center]  สำเร็จ<br>"""
ar_or010104#0,"""No.5<br>จงไปเคลียร์ Client order ของ Jan<br>[Required! How to use partner cards!] <br>"""
ar_or010100#1,"""No.1<br>アフィンのクライアントオーダー<br>「武器の持ち替え再確認！」の達成"""
ar_or010101#1,"""No.2<br>アフィンのクライアントオーダー<br>「フォトンアーツのセッティング？」の達成"""
ar_or010102#1,"""No.3<br>アフィンのクライアントオーダー<br>「どういうスキルを選ぼうか？」の達成"""
ar_or010103#1,"""No.4<br>アフィンのクライアントオーダー<br>「不安なメディカルセンター」の達成"""
ar_or010104#1,"""No.5<br>ジャンのクライアントオーダー<br>「必修！パートナーカード利用法！」の達成"""
ar_or010100#2,"""Check weapon switching again!"""
ar_or010101#2,"""Photon Move Setting?"""
ar_or010102#2,"""What kind of skill should I select?"""
ar_or010103#2,"""Uneasy Medical Center"""
ar_or010104#2,"""Required! How to use partner cards!"""
ar_or010100#3,"""武器の持ち替え再確認！"""
ar_or010101#3,"""フォトンアーツのセッティング？"""
ar_or010102#3,"""どういうスキルを選ぼうか？"""
ar_or010103#3,"""不安なメディカルセンター"""
ar_or010104#3,"""必修！パートナーカード利用法！"""
