Generic_001#0,"""無法使用的菜單和商店的功能，<br>會在推進劇情後解鎖。"""
Generic_002#0,"""在移動中按<pict 4space><%Avoid><pict 4space>進行滑步後，<br>會變成光子衝刺狀態。"""
Generic_003#0,"""在按<pict 4space><%Jump><pict 4space>進行跳躍後，長按<pict 4space><%Jump><pict 4space>，<br>會變成在空中飛翔的光子滑翔狀態。"""
Generic_004#0,"""戰鬥中受傷導致HP減少，<br>可以使用快捷列上的治療光晶進行回復。"""
Generic_005#0,"""治療光晶和復活光晶，<br>也可以在都市的商店等地購買。"""
Generic_006#0,"""長按打開主菜單的按鍵(<swguidetype T_MainMenu>)，<br>即可顯示世界地圖。※一部分平台除外"""
Generic_007#0,"""道具菜單內的道具列表等內容，<br>可以按方向鍵+<%Function>來快速滾動。"""
Generic_008#0,"""獵人(Hu)具有優異的高HP與高防禦力，<br>可以單獨作戰。"""
Generic_009#0,"""遊俠(Ra)可以使用射擊武器，<br>與敵人拉開一定距離作戰。"""
Generic_010#0,"""法師(Fo)可以使用“法術”，<br>從遠距離攻擊敵人。"""
Generic_011#0,"""鬥士(Fi)會犧牲防禦力，<br>以強力的猛攻將敵人粉碎。"""
Generic_012#0,"""鷹眼(Gu)會以猛烈的彈幕與優秀的機動力，<br>將敵人玩弄於股掌。"""
Generic_013#0,"""元素使(Te)擅長“法術”，<br>也會支援其他玩家。"""
Generic_014#0,"""武士(Br)可以分別使用遠程與近戰武器，<br>臨機應變地進行作戰。"""
Generic_015#0,"""凌客(Bo)可以誘發物理倒地與屬性倒地，<br>使戰局向有利的一面發展。"""
Generic_016#0,"""可以在“主菜單”的“系統”中，<br>查看遊戲中的“幫助”。"""
Generic_017#0,"""“阿爾法動力爐”是一種用來變賣的道具，<br>可以高價出售。"""
Generic_018#0,"""“N-通行證徽章”，可在道具交易商的<br><yellow>“道具交換商店中”<c>進行使用。"""
Generic_019#0,"""在PSE爆發中，會在一定時間內出現大量敵人，<br>可以獲得豐富的經驗值、N-美賽達以及道具。"""
Generic_020#0,"""善用“金色初式大劍”等道具，<br>可在武器強化時節約“N-研磨石”。"""
Generic_021#0,"""畫面模糊與炫光等效果，<br>可以在設置中的圖像設置內進行調整。"""
Esthetic_001#0,"""只要飾品未達到用度上限，<br>就可以在身上最多佩戴12個。"""
Esthetic_002#0,"""可以變更飾品的位置，<br>也可以進行更加細微的位置調節。"""
Esthetic_003#0,"""將服裝脫下或穿上，<br>可以更方便地觀察角色的體型。"""
Esthetic_004#0,"""分層服裝可以自由組合<br>外套、底衣和內衣。"""
Esthetic_005#0,"""在語音編輯中，可以調整語音的音調，<br>使其變得更高或更低。"""
Dead_r01_gd_box_ba_001#0,"""持續攻擊怒拳狼的腕部，<br>便會產生較大的破綻。"""
Dead_r01_gd_box_ba_002#0,"""當ARKS浮空時，<br>怒拳狼會使用突進攻擊。"""
Dead_r01_gd_phe_ba_001#0,"""如果攻擊不到飛戰鯨的本體，<br>打它下垂的尾巴就好了。"""
Dead_r01_gd_phe_ba_002#0,"""優先破壞飛戰鯨的頭部裝甲，<br>便可以攻擊到它的弱點核心。"""
Dead_r01_gd_ktn_ba_001#0,"""影武人在攻擊前，<br>武器會發出黑色的閃光。"""
Dead_r01_gd_ktn_ba_002#0,"""也可以用反擊，<br>來應對影武人的猛烈攻擊。"""
Dead_r01_gd_mag_ba_001#0,"""掌握了變腕者發射出的手臂位置，<br>便可以輕鬆躲過它瞄準死角的攻擊。"""
Dead_r01_gd_mag_ba_002#0,"""在變腕者發射出手臂的期間，<br>會更容易攻擊到它的弱點核心。"""
Dead_r01_gd_dra_ba_001#0,"""在艾亞利奧屠滅龍承受的傷害到達一定程度後，<br>它的身上就會燃起火焰，側面的弱點也會暴露出來。"""
Dead_r01_gd_dra_ba_002#0,"""艾亞利奧屠滅龍在大口吸氣之後，<br>會發出強力的火球攻擊。"""
Dead_r01_gd_dra_rai_001#0,"""真之屠滅龍在積蓄完力量之後，<br>會進行強力的攻擊。"""
