st_055120_0010#0,"""まだ……まだだ！<br>エフィメラさえあれば……<br>僕の、目的は……！"""
st_055120_0020#0,"""駄目です、そいつの相手をしても<br>何度でも喚び出されてしまいます！<br>ルーサーを止めないと！"""
st_055120_0030#0,"""ハリエットさん？"""
st_055120_0040#0,"""……兄様。"""
st_055120_0050#0,"""いえ、ルーサー。"""
st_055120_0060#0,"""その知恵、その力……<br>すでに国や民の元にはなく<br>己のために使うというのであれば……"""
st_055120_0070#0,"""私が……貴方を止めます。<br>クエントの王として……妹として！"""
st_055120_0080#0,"""はあああああっ！"""
st_055120_0090#0,"""はあっ、はあっ……！"""
st_055120_0100#0,"""……そう、それでいいんだ。<br>ハリエット。"""
st_055120_0110#0,"""誰であっても、厳格なる処分を下す。<br>旗印がその意志を持ち、示すことで<br>エフィメラの排除は成就する。"""
st_055120_0120#0,"""ルーサー……兄様！<br>正気に、戻られたのですね！"""
st_055120_0130#0,"""はは……面白いことを言う。<br>生涯を通じた僕の行いのどこに<br>正気があったというのか。"""
st_055120_0140#0,"""兄様……<br>何故、このようなことを……！"""
st_055120_0150#0,"""紅き邪竜を止める時<br>こうなることを覚悟はしていた。"""
st_055120_0160#0,"""エフィメラは……心を塗り潰す。<br>ルツもそうだっただろう。"""
st_055120_0170#0,"""ならばせめて……<br>国の、君のための礎に<br>なることが出来ればと……"""
st_055120_0180#0,"""ハリエット……<br>君は正しいことをした。"""
st_055120_0190#0,"""禁を破り、国を乱した者を<br>確固たる意志で裁いたんだ。<br>たとえそれが親族であってもね。"""
st_055120_0200#0,"""ルーサー……兄様……"""
st_055120_0210#0,"""<%me>。<br>僕の身勝手で、迷惑をかけたね。"""
st_055120_0220#0,"""迷惑ついでに、一つ頼みがある。<br>……僕の妹のことを、よろしく頼む。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
