name_7004#0,"""克羅福德|クロフォード"""
msn_011062_0010#0,"""呀，感謝你們的到來。"""
msn_011062_0020#0,"""接下來，<br>我想讓你們在這學習更多的東西。"""
msn_011062_0030#0,"""特別是你，你才剛剛來到哈爾法。<br>應該有很多事情還不懂吧。"""
msn_011062_0040#0,"""我會讓指令員給你們提供幫助。<br>詳細的事情就問她們吧。"""
msn_011062_0050#0,"""對了。你們先向綠琳<br>打個招呼吧？"""
msn_011062_0101#0,"""感謝你們能同我們一起戰鬥。"""
msn_011062_0102#0,"""接下來的挑戰會越發嚴峻，<br>希望你們加油。就交給你們了。"""
msn_011062_0201#0,"""如果有什麽困難的話，<br>不用見外，全部告訴我就好。"""
msn_011062_0202#0,"""指令員她們<br>也應該很樂意回答你們的問題的。"""
msn_011062_0301#0,"""感謝你們參與危險的任務。"""
msn_011062_0302#0,"""我剛才也說過，艾亞利奧屠滅龍是個強敵。<br>一定要十分小心。"""
msn_011062_0303#0,"""布魯達就拜托你們了。"""
msn_011062_0401#0,"""“繭”是最適合你們訓練的地方，教官已經在那裡等你們了。<br>詳細的事情就問他吧。"""
msn_011062_0402#0,"""做好充分的準備就往那邊去吧。<br>加油。"""
