un_064110_0010#0,"""あ、<%me>さん。<br>ちょっといいですか？"""
un_064110_0020#0,"""貴方は……<br>リサさんって、ご存知ですよね？"""
un_064110_0030#0,"""知ってる"""
un_064110_0040#0,"""知らない"""
un_064110_0050#0,"""ですよね、有名人ですもんね。<br>なら、ちょっと頼みごとがあります。"""
un_064110_0060#0,"""そうなんですか？\u3000有名人ですし<br>面識くらいあるとは思ったんですけど。<br>まあ、聞いてください。"""
un_064110_0070#0,"""リサさんが乗っていた<br>A.I.Sの稼働データを見ていたんですが<br>射撃の反応速度が異常なんですよ。"""
un_064110_0080#0,"""レーダーの感知よりも速く<br>敵の位置を把握できているんです。<br>いくらなんでもありえません。"""
un_064110_0090#0,"""この理由がわかれば<br>さらにA.I.Sを改良できるので<br>リサさんに話を聞きたくて……"""
un_064110_0100#0,"""リサがどうかしましたかあ？"""
un_064110_0110#0,"""うわっ、びっくりした！<br>あ、貴方がリサさん、ですか？"""
un_064110_0120#0,"""はいはいリサですよお。<br>リサになにかご用ですかあ？"""
un_064110_0130#0,"""はい、貴方が乗ったA.I.Sの<br>稼働データを見たんですけど<br>疑問点がありまして……"""
un_064110_0140#0,"""何度か、レーダーが感知するよりも速く<br>射撃を当てたというログがあるんですが<br>あれはどうやっているんですか？"""
un_064110_0150#0,"""どうと言われても<br>リサはただ、目で見て撃っている<br>だけですよお。"""
un_064110_0160#0,"""えっと……？<br>目で見て……とは？"""
un_064110_0170#0,"""リサは戦うときに<br>レーダーに頼ってませんからねえ。<br>A.I.Sに乗っている時も同じです。"""
un_064110_0180#0,"""この目で探して<br>見つけたら撃ってるだけですよお。"""
un_064110_0190#0,"""まさかの目視……！？"""
un_064110_0200#0,"""いや、待てよ……<br>目で探して、撃つ……か。<br>なるほど……"""
un_064110_0210#0,"""フォトンの感知速度じゃなくて<br>カメラ駆動と解析能力を上げれば<br>同様の結果が得られるはず……"""
un_064110_0220#0,"""それにしても、A.I.Sというのは<br>なんとも、リサには合いませんねえ。<br>敵を撃ってる感覚がありません。"""
un_064110_0230#0,"""そうだ、カメラのＸＨＤ画像解析を<br>１６ミリセカンド未満に高速化できれば<br>レーダーマップにリダイレクトして……"""
un_064110_0240#0,"""やっぱり敵を撃つなら<br>自分の手で撃って撃って撃ちまくるのが<br>一番ですからねえ。"""
un_064110_0250#0,"""フォトン感知と合わせれば、今よりも<br>２２％以上高速で正確な索敵が可能……<br>どもです、リサさん！"""
un_064110_0260#0,"""おやおやおや。<br>なんとも、変わった娘ですねえ。"""
un_064110_0270#0,"""ああそうそう、あなたどうして<br>さっき、リサのことを「知らない」って<br>答えたんですかあ？"""
