IncidentName#0,"""$(0)撃退"""
TrialBeginMsg#0,"""$(0)を撃退せよ！"""
TrialAbstract#0,"""$(0)の撃退"""
NpcComOnBegin#0,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#0,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#0,"""目標の撃退を確認！ <br>お見事です！"""
NpcComOnBegin#1,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#1,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#1,"""目標の撃退を確認！ <br>お見事です！"""
NpcComOnBegin#2,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#2,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#2,"""目標の撃退を確認！ <br>お見事です！"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#3,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#3,"""目標の撃退を確認！ <br>お見事です！"""
NpcComOnBegin#4,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#4,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#4,"""目標の撃退を確認！ <br>お見事です！"""
NpcComOnBegin#5,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#5,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#5,"""目標の撃退を確認！ <br>お見事です！"""
