name01#0,"""Echo"""
name01#1,"""エコー"""
text01#0,"""โว้วววว เหนื่อยสุดๆ เลย<br>แต่ก็เสร็จแล้ว!"""
text02#0,"""และข้าอยากบอกว่า ท่านเยี่ยมมากเลย!"""
text03#0,"""ข้าไม่ได้หมายถึงพลังของท่านอย่างเดียว<br>ท่านยังเก่งในการต่อสู้และตัดสินใจได้รวดเร็ว<br>ท่านมีครบหมดทุกอย่างเลย"""
11_voice_NPC_5002_104#0,"""ข้าไม่เข้าใจ ข้าพยายามแล้วพยายามอีกในทุกๆที่<br>แต่ก็ไม่ช่วยอะไรเลย หรือข้ามีอะไรผิดปกติเหรอ?"""
text05#0,"""อ่า..ไม่ต้องกังวลหรอก<br>กลับกันเถอะ"""
text01#1,"""はぁ、はぁ……<br>ようやく終わったぁ。"""
text02#1,"""……今さらだけどさ。<br>きみはやっぱり強いね。"""
text03#1,"""強いって、力だけじゃなくてさ。<br>戦う上での度胸も<br>とっさの判断も、全部。"""
11_voice_NPC_5002_104#1,"""なんだろう。あたしだって<br>頑張ってるつもりなのに<br>どんどん離されてく気がする。"""
text05#1,"""……ううん、こんなこと言ってても<br>どうにもならないか。<br>さ、帰還しましょう。"""
