st_055010_0010#0,"""因爲守護輝士的努力<br>成功討伐了威倫皇國的修雷格皇帝。"""
st_055010_0020#0,"""昆特傳說中的紅色邪龍<br>也憑藉劍之巫女的努力和盧瑟的機智<br>成功再次封印。"""
st_055010_0030#0,"""解決了降臨到頭上的棘手問題<br>昆特的新王都得到了暫時的寧靜。"""
st_055010_0040#0,"""......貝倫皇國陷落。<br>還有紅色邪龍封印一週後。"""
st_055010_0050#0,"""在昆特新王都玉座之間<br>新王哈莉艾特陣營匯聚一堂<br>展開了今後的對策會議。"""
st_055010_0060#0,"""只不過有一個人，有一點兒心不在焉。"""
st_055010_0070#0,"""關於紅色邪龍的狀況<br>從劍之巫女那有什麼消息傳來麼？"""
st_055010_0080#0,"""國軍已動員展開持續監視<br>現在沒有問題。"""
st_055010_0090#0,"""劍之巫女那邊<br>也說現在的話封印暫時應該是不能被解除的。"""
st_055010_0100#0,"""威倫內部的狀況的話<br>至今爲止活動中的魔神城還很多<br>還不能說很和平。"""
st_055010_0110#0,"""不過，在威倫國境線上<br>斷斷續續發生的衝突<br>終於穩定了下來。"""
st_055010_0120#0,"""那就開始進行物資援助的準備吧。<br>不管怎麼都必須要照顧一下<br>威倫的難民。"""
st_055010_0130#0,"""......我們國家其實物資<br>也不是特別充足了。"""
st_055010_0140#0,"""即使如此，也必須。<br>要是弄錯了初期行動的對策，那麼禍根就會<br>殘留一生吧。"""
st_055010_0150#0,"""要是因爲是不同的國家就差別對待的話<br>轉眼間就會變成暴動的火種。<br>必須要避免那種情況的發生。"""
st_055010_0160#0,"""......你在說什麼呢，哈莉艾特。<br>其他國家的爛攤子根本不用管。"""
st_055010_0170#0,"""誒......？<br>盧、盧瑟，你說什麼？"""
st_055010_0180#0,"""我在說事實。"""
st_055010_0190#0,"""作爲讓他們知道抵抗是無意義的手段<br>最適合就是警示性的處刑。<br>這樣的話就能制約他國。"""
st_055010_0200#0,"""在這之上，再給其他國家送去文書。<br>如果投降的話，就可以保證他們的性命。"""
st_055010_0210#0,"""強大的威倫都投降的現在<br>其他國家也會聽我國的話......"""
st_055010_0220#0,"""......盧、盧瑟！"""
st_055010_0230#0,"""......！"""
st_055010_0240#0,"""......對不起。<br>忘掉我剛才的發言吧。"""
st_055010_0250#0,"""......好。"""
st_055010_0260#0,"""至於威倫<br>我們不要干涉<br>讓他們自己統治。"""
st_055010_0270#0,"""本來皇帝的弟弟<br>埃里米爾大人最合適了<br>然而卻行蹤未明......"""
st_055010_0280#0,"""哥......額、盧瑟？<br>怎麼了？"""
st_055010_0290#0,"""......我有點兒不舒服<br>所以就先離席了。<br>大家就繼續開會吧。"""
st_055010_0300#0,"""怎麼樣子看起來有點兒奇怪。<br>特別有攻擊性......"""
st_055010_0310#0,"""......哥哥。"""
skit01#0,"""The Investigation of Loser"""
skit02#0,"""兄妹的記憶、敗者的研究"""
name01#0,"""紅龍（魯茲）"""
name02#0,"""？？？"""
