ErrorMember#0,"""$(0)並非<br>公會成員。"""
ErrorNotExist#0,"""所指定的公會不存在。"""
Role#0,"""職務"""
RankName#0,"""階級"""
Flag#0,"""公會旗幟"""
Select#0,"""選擇"""
Update#0,"""更新"""
CountTimes#0,"""$(0)次"""
CountPeople#0,"""$(0)人"""
CountItem#0,"""$(0)個"""
CountRank#0,"""現在 $(0)位"""
CountGP#0,"""$(0)TP"""
GuildName#0,"""公會名稱"""
PlayerName#0,"""玩家ID名稱"""
Preview#0,"""預覽"""
OtherMember#0,"""公會成員以外的人<br>不能使用。<br>"""
Determine#0,"""確認變更"""
Close#0,"""不變更並結束"""
AccessorySelect#0,"""選擇飾品"""
SetAccessoryColor#0,"""設定飾品顏色"""
WindowChange#0,"""<pict Sign_TRIANGLE>切換"""
CloseTitle#0,"""結束確認"""
CloseConfirm#0,"""不預覽變更内容直接結束。<br><br>確定麼？"""
1#0,"""公會披風"""
2#0,"""公會扁帽"""
3#0,"""公會圍巾"""
4#0,"""公會標記"""
5#0,"""公會盾牌"""
6#0,"""公會衛星 """
TimeOut#0,"""過了2個星期。<br>取消對「$(0)」的邀請。"""
AcceptOther#0,"""發送過邀請的「$(0)」，所屬於了別的公會。"""
GuildDelete#0,"""由於解散了公會，因此邀請取消。"""
Reject#0,"""「$(0)」拒絶邀請。"""
Accept#0,"""「$(0)」加入$(1)公會。"""
Scout#0,"""邀請中（$(0)）"""
Online#0,"""在線"""
Offline#0,"""離線"""
Sort1#0,"""依入會順序排序"""
Sort2#0,"""依職務排序"""
Sort3#0,"""依玩家ID名稱排序"""
Sort4#0,"""依角色名稱排序"""
Sort5#0,"""依邀請順序排序"""
Subject1#0,"""角色名稱 / 玩家ID名稱"""
Subject2#0,"""職務"""
Subject3#0,"""線路 / 地點"""
Subject1_Vita#0,"""玩家ID名稱"""
Subject2_Vita#0,"""角色名稱"""
Subject3_Vita#0,"""線路"""
Subject4_Vita#0,"""地點"""
OfflineEmpty#0,"""無離線成員"""
ScoutEmpty#0,"""無邀請中的成員"""
Subject4#0,"""登入状態"""
NoLogin#0,"""<c a0a0a0>最近一段時間沒有登入<c>"""
Subject1#1,"""玩家ID名稱"""
Subject2#1,"""加入日期"""
Empty#0,"""無記錄"""
Title#0,"""$(0)專用公會指令"""
MemberList#0,"""公會成員列表"""
ScoutReply#0,"""邀請中"""
Status#0,"""公會資料"""
PersonalStatus#0,"""公會成員個人資料"""
Leave#0,"""退出公會"""
EquipAcc#0,"""裝備公會飾品"""
Public#0,"""公開資料"""
Private#0,"""非公開資料"""
MemberCount#0,"""成員人數"""
ManagerCount#0,"""管理員人數"""
TrophyCount#0,"""ARKS獎杯數量"""
Initiation#0,"""公會創設日期"""
Level#0,"""公會等級"""
Web#0,"""打開網站"""
RoomDesign#0,"""公會小屋地點"""
RoomRental#0,"""房間服務期限"""
PointRank#0,"""公會點數排行"""
RareItemRank#0,"""稀有道具取得排行"""
Point#0,"""持有的公會點數"""
TotalPoint#0,"""已獲得的公會點數"""
MyPoint#0,"""本週獲得的公會點數"""
MyEnablePoint#0,"""本週可取得的公會點數上限"""
MyTotalPoint#0,"""所獲得的公會點數"""
NoRoom#0,"""無"""
NoRankEntry#0,"""-"""
Login1#0,"""公會登入訊息"""
PublicInfo#0,"""公開情報"""
PrivateInfo#0,"""非公開情報"""
EquipAccTitle#0,"""裝備公會飾品"""
EquipAccYes#0,"""裝備公會飾品"""
EquipAccNo#0,"""未裝備公會飾品"""
EquipAccConfirm#0,"""不顯示飾品選擇4，<br>並裝備公會飾品。<br><br>※該設置將會對本船內所有角色應用<br><br>確定麼？"""
OtherMemberLockTitle#0,"""非成員的進入"""
OtherMemberUnLock#0,"""公開中"""
OtherMemberLock#0,"""鎖定中"""
TeamShop#0,"""公會專用商店"""
TeamShopOpen#0,"""已獲得"""
TeamShopNoOpen#0,"""未獲得"""
ConfirmTitle#0,"""確定退出公會"""
ErrorTitle#0,"""退出公會"""
