ssc_501010_0010#0,"""あっ！<br><%me>も、帰ってたんだね。"""
ssc_501010_0020#0,"""あたしは、<br>これからアークスの活動日誌をつけようと思って。"""
ssc_501010_0030#0,"""今日はどんなエネミーと戦ったとか、<br>どんな鉱石を見つけたとか……。"""
ssc_501010_0040#0,"""その日のできごとを、記録してるの。"""
ssc_501010_0050#0,"""もともとは、マノンの日誌を見せてもらって、<br>それを真似して始めたんだけど……。"""
ssc_501010_0060#0,"""マノンの日誌って、<br>すごく細かく書かれてるんだよ。"""
ssc_501010_0070#0,"""エネミーごとに、弱点や習性がまとめられてたりとか、<br>鉱石を手に入れた場所とか、どうやって使うのかとか。"""
ssc_501010_0080#0,"""ときどき、見せてもらってるんだけど、<br>すごく参考になるんだよ。"""
ssc_501010_0090#0,"""教えかたも、とってもうまいし。"""
ssc_501010_0100#0,"""まるで先生みたいだね。"""
ssc_501010_0110#0,"""意外と勉強熱心なんだね。"""
ssc_501010_0120#0,"""先生？"""
ssc_501010_0130#0,"""うん、そうだね。<br>マノンはあたしの先生だよ。"""
ssc_501010_0140#0,"""意外って、ひどいなあ。"""
ssc_501010_0150#0,"""これでも、一人前のアークスになるために、<br>頑張ってるんだよ。"""
ssc_501010_0160#0,"""……エアリオタウンに住んでた頃は、<br>あんまり教わるってことがなかったんだよね。"""
ssc_501010_0170#0,"""前に話したけど、お父さんが、<br>「アークスになるのはまだ早い！」って感じだったからさ。"""
ssc_501010_0180#0,"""それで、マノンがうちに来てからは、<br>いろんなことを教われるようになったんだ。"""
ssc_501010_0190#0,"""あたしが、マノンに<br>くっついて回ってただけなんだけどね。"""
ssc_501010_0200#0,"""エネミーとの戦いかたとか、<br>食べられる野菜や果物のこととか。"""
ssc_501010_0210#0,"""アークスとしての知識は、<br>みんなマノンに教えてもらったの。"""
ssc_501010_0220#0,"""だから、マノンはあたしにとって先生みたいなもので。<br>アークスとしての目標で……。"""
ssc_501010_0230#0,"""いつも身近にいてくれる、<br>あたしのお姉ちゃんみたいな存在なんだ。"""
ssc_501010_0240#0,"""……だ、だから、そんなマノンと、<br>肩を並べられるように、頑張ってるってことなの！"""
ssc_501010_0250#0,"""もちろん、キミとも、ね。"""
ssc_501010_0260#0,"""それじゃ、あたしはもう行くから。<br>またね！"""
