un_012640_0005#0,"""[Fun, With A Catch]<br>ข้อความชั่วคราว"""
un_012640_0010#0,"""แหมๆๆๆ นี่มันๆ<br>คิกคิก บังเอิญจังเลยนะค้า<br>ดีใจจังเลย สวัดดีค่า"""
un_012640_0020#0,"""Risa อ่ะน้า กำลังยิงมันสุดๆ ไปเลยล่ะค่ะ<br>ไม่รู้ทำไมช่วงนี้พวก Darkers ถึงโผล่มาเยอะแยะ<br>แต่ก็ทำให้ Risa ได้สนุกจนพอใจเลยล่า"""
un_012640_0030#0,"""ถึงจะยังไม่เจอคุณมังกรคลั่ง<br>ที่เป็นเป้าหมายนั่นก็เถอะค่ะ<br>แต่สำหรับ Risa ขอแค่ได้สนุกก็พอแล้วล่ะ"""
un_012640_0040#0,"""แล้วอีกอย่างนึงนะ อีกอย่างนึง<br>ดูช่วงนี้ คุณ ARKS แต่ละคน<br>สีหน้าไม่ค่อยดีเท่าไหร่เลยเนอะ"""
un_012640_0050#0,"""สงสัยกำลังกังวลเรื่องที่<br>Dark Falz ฟื้นขึ้นมาไม่ก็เรื่องที่ <br>ARKS เบื้องบนขาดความโปร่งใสล่ะมั้ง"""
un_012640_0060#0,"""Risa ไม่ค่อยเข้าใจหรอกนะคะ<br>ว่าจะซึมกันไปทำไม"""
un_012640_0070#0,"""ไม่ว่าความจริงหรือเรื่องจริงจะเป็นยังไง<br>ก็ไม่เห็นต้องสนใจก็ได้ไม่ใช่เหรอคะ?"""
un_012640_0080#0,"""จะอธิบายไงดีล่ะ ก็แบบคุณศัตรูใช่ม้า<br>ถ้าฆ่าได้ปุ๊ป เรื่องก็จบแล้วไงคะ"""
un_012640_0090#0,"""แล้วถ้าจากนี้จะมีตัวอะไรโผล่มา<br>ให้ Risa ยิงทิ้งเพิ่มล่ะก็<br>สำหรับ Risa แล้ว นั่นถือว่าเป็นเรื่องดีค่ะ"""
un_012640_0100#0,"""ไม่ว่าจะเป็นโน่นนี่นั่นหรืออะไรก็ตาม<br>Risa ก็อยากลองยิงดูทั้งนั้นแหละค่า<br>คิกคิก คิกคิกคิกคิก"""
un_012640_0005#1,"""【愉しさの中の違和感】<br>仮テキスト"""
un_012640_0010#1,"""あらあらあらあら、これはこれは<br>ふふふっ、奇遇ですねえ<br>楽しいですねえ、こんにちは。"""
un_012640_0020#1,"""リサはですねえ、撫で撃ち中です。<br>ダーカーが増えてくれたおかげで<br>やりたい放題万々歳、ですよお。"""
un_012640_0030#1,"""ウワサの暴走龍さんには<br>お目にかかれていませんけど<br>ま、楽しいからいいです。"""
un_012640_0040#1,"""それにしても、ああ、それにしても<br>最近のアークスの皆さんは<br>ふぬけちゃってますねえ。"""
un_012640_0050#1,"""ダークファルスさんの復活や<br>アークス上層部への不信感で<br>不満がつのっている感じですよお。"""
un_012640_0060#1,"""リサにしてみれば<br>わけがわからないです。"""
un_012640_0070#1,"""真実とか事実とか<br>どうでもいいじゃないですかあ？"""
un_012640_0080#1,"""だってだって、敵さんだったら<br>殺せばおしまい、なんですからねえ。"""
un_012640_0090#1,"""これからもーっと撃っていいものが<br>増えてくれるのなら、リサにとっては<br>万々歳、ですよお。"""
un_012640_0100#1,"""あれもこれもそれもどれも<br>撃ってみたいものばかりですからねえ。<br>ふふふっ、ふふふふふっ。"""
