11_voice_NPC_5021_102#0,"""มี ARKS มากมายไม่ใช้ระบบสนทนาอัตโนมัติ (Auto chat)<br>มันช่างน่าละอาย"""
text02#0,"""นี่เป็นระบบที่สำคัญสุดๆ<br>ท่านสามารถส่งข้อความออกไป<br>เพื่อให้คนอื่นๆรู้ว่าท่านเป็นอย่างไร"""
text03#0,"""แล้วท่านล่ะ ทำไมไม่ไปตั้งสนทนาอัตโนมัติ?"""
text04#0,"""ทำอะไรนะ? สนทนาอัตโนมัติ! <br>ฟังที่ข้าพูดบ้างหรือเปล่าเนี่ย?<br>จงไปตั้งทันทีที่จบเควส เข้าใจนะ?"""
text05#0,"""แล้วท่านจะรออะไรอยู่อีก?"""
11_voice_NPC_5021_102#1,"""昨今のアークスは、オートワードを<br>活用しない者が多すぎる！<br>もったいないことだ！"""
text02#1,"""状況に応じたメッセージを出す<br>オートワードは、自身の状況を<br>知らせるのに重要、だというのに……！"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐやってくるといい！"""
text04#1,"""何を、って、決まっているだろう。<br>オートワードの設定だ！<br>クエストクリア時の設定だ！"""
text05#1,"""さあ、さあ、やってきてくれ！<br>そう難しいことではないはずだ！<br>私の不安を払拭してくれ！"""
text00#0,"""เกี่ยวกับ AutoWord"""
text01#0,"""ข้อมูลเกี่ยวกับ AutoWord<br><br>AutoWord เป็นระบบที่ช่วยให้สามารถแสดงคำพูดออกมาได้<br>โดยอัตโนมัติเมื่อเงื่อนไขตรงกับที่ตั้งค่าไว้<br><br>ท่านสามารถตั้งค่าการใช้งานได้ผ่านทางหัวข้อ<br>[System] → [ตั้งค่า Chat] → [AutoWord]<br><br>หากต้องการเพิ่มสถานการณ์ให้แสดง AutoWord เพิ่ม<br>โปรดเลือกที่ [+] เพื่อเพิ่มรายการใหม่"""
text02#2,"""ท่านสามารถเลือกให้แสดง AutoWord ที่ท่านตั้งค่าไว้ได้ในหลายสถานการณ์<br>อย่างเช่น แสดงคำทักทายเมื่อเริ่มเควสท์ หรือเมื่อตัวละครเข้าสู่สภาพต่อสู้ไม่ได้ เป็นต้น"""
text00#1,"""オートワードについて"""
text01#1,"""オートワードについて説明します。<br><br>オートワードとは、プレイヤーによる操作無しで、<br>特定の状況になると自動的に発言する<br>チャット機能です。<br><br>「システム」→「チャット設定」→「オートワード」で<br>設定することが出来ます。<br><br>状況別の入力欄を選び、<br>テキストを入力すると登録できます。<br><br>1つの状況に複数のオートワードを<br>登録したい場合は<br>「＋」を選んで入力欄を増やしましょう。"""
text02#3,"""クエスト開始時に挨拶をしたり、<br>戦闘不能になった際に助けを呼んだり<br>使用方法は様々です。<br><br>オートワードを活用して<br>楽しくゲームをプレイしましょう。"""
