text00#0,"""[เกี่ยวกับ Ship Competition]"""
text01#0,"""[ข้อมูล Ship Competition]<br><br>[Ship Competition] คือกิจกรรมที่ขึ้นอยู่กับจำนวนของผู้เล่นที่เข้าร่วมทั้งหมด"""
text02#0,"""ข้อมูลระยะเวลาของกิจกรรมและ Round"""
text03#0,"""ข้อมูลเป้าหมายของ Round"""
text04#0,"""ข้อมูล Star, Group Point และการแพ้ชนะ"""
text05#0,"""ข้อมูลการรายงานผล"""
text06#0,"""ข้อมูลไอเทมพิเศษสำหรับกิจกรรม"""
text00#1,"""「シップ対抗戦」について"""
text01#1,"""「シップ対抗戦」について<br><br>「シップ対抗戦」とは全ユーザ参加型によるイベントです。<br>"""
text02#1,"""イベント開催期間とラウンドの説明"""
text03#1,"""ラウンド目標の説明"""
text04#1,"""スターとグループポイント、勝敗の説明"""
text05#1,"""結果発表方法の説明"""
text06#1,"""イベント限定景品の説明"""
