un_012590_0005#0,"""[Misdirection]<br>ข้อความชั่วคราว"""
un_012590_0010#0,"""อ้าวอ้าว ยังมีชีวิตรอดอยู่สินะคะเนี่ย<br>แต่เท่านี้เราก็ยังสามารถพูดคุยกันต่อได้แล้ว<br>คิกคิกคิกคิก"""
un_012590_0020#0,"""การต่อสู้กับ Dark Falz ก่อนหน้านี้<br>คุณเองก็เข้าร่วมด้วยใช่มั้ยคะ?"""
un_012590_0030#0,"""นั่นมันวิเศษสุดยอดไปเลยนะคะ<br>ทำเอา Risa ใจสั่นม๊ากมาก<br>จนทำเกินไปหน่อยเลยล่ะค่ะ"""
un_012590_0040#0,"""แต่หลังจากนั้นชั้นก็ไม่นึกเลยนะคะว่าการ<br>รับมือของ ARKS จะสนุกม๊ากมากแบบนั้น<br>เล่นเอาหัวเราะเลยล่ะค่ะ คิกคิก"""
un_012590_0050#0,"""การแสดงของคุณไอดอลสินะคะ?<br>เอ๊ะหรือแพะรับบาป? หรือว่าประชาสัมพันธ์?<br>เค้าต้องเรียกว่าอะไรกันนะ?"""
un_012590_0060#0,"""Risa รู้สึกถึงความพ่ายแพ้ที่ไม่ได้รู้สึกมานาน<br>เลยล่ะค่ะ พ่ายแพ้กับความโง่แบบไร้สาระนั่น<br>ชั้นไม่คิดมาก่อนเลยนะคะว่าจะทำแบบนั้น"""
un_012590_0070#0,"""แม้ว่าอาจจะพยายามซ่อนสถานการณ์<br>แย่ๆ ทั้งหมดเอาไว้ก็ตาม...... <br>แต่มันก็คงไม่ไหวหรอกมั้งคะ"""
un_012590_0080#0,"""ยังไงซะ Risa ก็ไม่มีทางลืมหรอกค่ะ<br>การที่จะลืมศัตรูที่อยากจะฆ่าทิ้งให้มันส์มือ<br>แบบนั้น มันไม่มีทางทำได้หรอกค่ะ จริงมั้ย?"""
un_012590_0090#0,"""เนอะ ใช่มั้ยคะ?<br>คุณเองก็คิดแบบนั้นใช่มั้ย?<br>คิกคิกคิก คิกคิกคิกคิก"""
un_012590_0005#1,"""【贖罪の山羊】<br>仮テキスト"""
un_012590_0010#1,"""おやおや、生きてましたねえ。<br>これでまたお話しできますねえ。<br>ふふふふふっ。"""
un_012590_0020#1,"""この前のダークファルスさんとの<br>戦闘、参加しましたかあ？"""
un_012590_0030#1,"""あれは素晴らしかったですねえ。<br>とってもとおっても心が震えて<br>リサ、やりすぎちゃいました。"""
un_012590_0040#1,"""でも、そのあとのアークスの対応は<br>とってもとおっても愉快で、思わず<br>笑ってしまいましたねえ。ふふっ。"""
un_012590_0050#1,"""アイドルさんの公演、でしたか？<br>スケープゴート？\u3000プロパガンダ？<br>どう呼ぶべきなのでしょうねえ。"""
un_012590_0060#1,"""リサは、久々に負けた気がしました。<br>そのばかばかしさに、大敗北です。<br>その発想はなかったですよお。"""
un_012590_0070#1,"""都合の悪いことをぜーんぶ<br>覆い隠そうとしているのかも<br>しれませんけど……無理ですねえ。"""
un_012590_0080#1,"""すくなくとも、リサは忘れません。<br>あんなに楽しくて殺したくなった<br>相手を忘れるのなんて、無理ですよお？"""
un_012590_0090#1,"""ねえ、そうですよね？<br>あなたも、そうですよねえ？<br>ふふふっ、ふふふふふっ。"""
