un_063200_0010#0,"""んー、機体性能が上がった分<br>いろんな箇所に弊害がでてるな……"""
un_063200_0020#0,"""フレームへの負荷もそうだけど<br>コクピットの生命維持機能も<br>今の状態のままじゃちょっと……"""
un_063200_0030#0,"""……って<br>あ、<%me>さん。<br>どもです。"""
un_063200_0040#0,"""……あ、このタブレットですか？<br>A.I.S開発用のシミュレータですよ。"""
un_063200_0050#0,"""アークスの皆さんからいただいた<br>データを元に、改造を施したA.I.Sを<br>この端末でシミュレートしています。"""
un_063200_0060#0,"""その結果をもとに、最適な形で設計。<br>ひとりひとりの細かな要望に合わせて<br>A.I.Sの改造を行います。"""
un_063200_0070#0,"""そうだ、貴方も<br>何か私に伝えたいことがあれば<br>遠慮なく言ってください。"""
un_063200_0080#0,"""A.I.Sをさらに強化して欲しい"""
un_063200_0090#0,"""助かってるよ、ありがとう"""
un_063200_0100#0,"""さらにですか……！<br>本当に、貴方が求める強さには<br>上限値がないんですね。"""
un_063200_0110#0,"""え……？<br>な、なるほど……そう来ましたか。<br>褒められ慣れてなくて……へへへ。"""
un_063200_0120#0,"""まあ、これが私の仕事ですし<br>好きな研究のためであれば<br>やれるだけ、やります。"""
un_063200_0130#0,"""と、いうわけで<br>今後もお願いしますね。"""
