name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
skit01#0,"""這開關是......果然<br>踩下去後，結界似乎只能開啟<br>一定的時間。"""
skit02#0,"""......這開關，難道<br>踩下去之後<br>結界只能開啟一段時間麼？"""
skit03#0,"""踩下這開關之後，<br>結界似乎只能開啟一段時間。<br>磨磨蹭蹭的。"""
skit04#0,"""這開關是啥......<br>啊！踩下去之後<br>結界只會開啟一段時間。"""
skit05#0,"""總覺得有奇怪的開關！<br>好，按下去了！"""
skit06#0,"""琶提有點猶豫！<br>......啊！踩下這個開關後<br>結界似乎能開啟一段時間。"""
skit07#0,"""踏下這開關之後<br>結界似乎只能開啟一段時間。<br>難道這片小孩的把戲。"""
skit01#1,"""/ci2 2 原來這開關是...... <br>踩下去後，結界似乎只能開啟<br>一定的時間。"""
skit02#1,"""/ci2 2 ......這開關或許是<br>踩下去之後<br>結界只能開啟一段時間麼？"""
skit03#1,"""/ci2 2 這開關只有踩下去後的一定時間<br>結界似乎只能開啟一段時間。<br>磨磨蹭蹭的。"""
skit04#1,"""/ci2 2 什麼，這開關......<br>啊！踩下去之後<br>結界只會開啟一段時間。"""
skit05#1,"""/ci2 2 總覺得這開關有點奇怪！<br>好，按下去了！"""
skit06#1,"""/ci2 2 琶提有點猶豫！<br>......啊！踩下這個開關後<br>結界似乎能開啟一段時間。"""
skit07#1,"""/ci2 2 這個，只有踩下去後的一定時間<br>結界似乎只能開啟一段時間。<br>難道這片小孩的把戲。"""
