name01#0,"""Oza"""
name01#1,"""オーザ"""
text00#0,"""โอ้ว ขอบใจมาก<br>ไว้มาช่วยอีกนะ"""
text01#0,"""ทุ่นแรงไปเยอะ<br>ขอบใจมากนะ"""
text02#0,"""โอ้ เสร็จแล้วสิ<br>ใช้ได้ทีเดียว ขอบใจมาก"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""おう、お疲れ様。<br>またよろしく頼む。"""
text01#1,"""助かった。<br>ありがとな。"""
text02#1,"""おう、できたな。<br>いい出来だ、礼を言おう。"""
text03#1,"""ありがとう03"""
text00#2,"""ใช้ได้เหมือนกันนี่นา<br>ฝีมือโอเคเลยนะเนี่ย<br>ไว้จะไปกวนใหม่นะ"""
text01#2,"""ดีกว่าที่สั่งซะอีก<br>มีอะไรเหนือความคาดหมายเสมอเลยนะ<br>แล้วจะไปให้ช่วยอีกนะ"""
text02#2,"""ยอดเยี่ยม !<br>ไม่มีที่ติจริงๆ !<br>คราวหน้าไว้ช่วยอีกนะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""大したものだな。<br>こんなにいい出来になるとはな。<br>またよろしく頼む。"""
text01#3,"""期待以上だな。<br>まさかオレの予想を上回るとはな。<br>また頼む。"""
text02#3,"""素晴らしい！<br>文句なしの良作だな！<br>次もよろしく頼む。"""
text03#3,"""本当にありがとう03"""
