un_020430_0010#0,"""唉呀，你好。<br>還以為是誰呢，原來是你。"""
un_020430_0020#0,"""嗯－－，<br>另外還感受到一股氣息。<br>也罷。"""
un_020430_0030#0,"""雖然很想和你慢慢的聊，<br>可惜今天和人有約。"""
un_020430_0040#0,"""喂，亞沙納米。<br>早說過了不准隨便先行動的啊。"""
un_020430_0050#0,"""唔......！\u3000你、你......<br>在這裡見到你，真是巧。"""
un_020430_0060#0,"""我、我是受這傢伙的邀請<br>一起組隊而已啦，"""
un_020430_0070#0,"""然後用這個藉口去約會啦。"""
un_020430_0080#0,"""絕對不是！"""
un_020430_0090#0,"""......唔，竟然這麼用力的否定，<br>這樣子的表現<br>也很傷人的耶。"""
un_020430_0100#0,"""別管這個了，繼續進行任務囉！"""
un_020430_0110#0,"""好好好，知道了啦，前輩。<br>那麼，再見啦。"""
un_020430_0120#0,"""你也不要亂想。<br>不是這麼回事啦。<br>聽到了沒！"""
un_020430_0010#1,"""おやっ、こんにちは。<br>誰かと思えば、貴方か。"""
un_020430_0020#1,"""うーん、もう一つ気配を<br>感じたんだけどなぁ。<br>まあいいか。"""
un_020430_0030#1,"""のんびりダベりたいところだけど<br>残念、今日は先約があるんだよね。"""
un_020430_0040#1,"""おい、アザナミ。<br>勝手に先行するなと言っただろう。"""
un_020430_0050#1,"""む……！\u3000お、お前……<br>こんなところで、奇遇だな。"""
un_020430_0060#1,"""お、オレは、こいつに請われて<br>パーティーを組んでいるだけだ。"""
un_020430_0070#1,"""という建前でのデートでーす。"""
un_020430_0080#1,"""断じて違う！"""
un_020430_0090#1,"""……うーむ、そこまで全力で<br>否定されると、それはそれで<br>傷つくなあ。"""
un_020430_0100#1,"""いいから、任務を続けるぞ！"""
un_020430_0110#1,"""はいはい了解だよー、先輩。<br>それじゃ、またね。"""
un_020430_0120#1,"""お前も、勘違いするなよ。<br>そういうのではないからな。<br>わかったな！"""
