text00#0,"""Quest Points"""
text01#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Dagans: 1 point"""
text02#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Kradas: 1 point"""
text03#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Carthagos: 3 points"""
text04#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Briadas: 3 points"""
text05#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>El Dagans: 2 points"""
text06#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>El Ardas: 3 points<br><br>Reports suggest other powerful D-arkers are also<br>on the prowl. If you can find and defeat them,<br>you will be awarded a large number of quest points."""
text07#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Dagans: 2 points"""
text08#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Kradas: 2 points"""
text09#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Carthagos: 6 points"""
text10#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>Briadas: 6 points"""
text11#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>El Dagans: 4 points"""
text12#0,"""Obtain quest points by defeating<br>the following D-arker hostiles:<br><br>El Ardas: 6 points<br><br>Reports suggest other powerful D-arkers are also<br>on the prowl. If you can find and defeat them,<br>you will be awarded a large number of quest points."""
text00#1,"""『クエストポイント』について"""
text01#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ダガン　1PT"""
text02#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>クラーダ　1PT"""
text03#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>カルターゴ　3PT"""
text04#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ブリアーダ　3PT"""
text05#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・ダガン　2PT"""
text06#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・アーダ　3PT<br><br>また、上記以外にも強力なダーカーエネミーの<br>存在が確認されており、それらを発見し撃破すれば、<br>大量のクエストポイントを獲得することもできます。"""
text07#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ダガン　2PT"""
text08#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>クラーダ　2PT"""
text09#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>カルターゴ　6PT"""
text10#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ブリアーダ　6PT"""
text11#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・ダガン　4PT"""
text12#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・アーダ　6PT<br><br>また、上記以外にも強力なダーカーエネミーの<br>存在が確認されており、それらを発見し撃破すれば、<br>大量のクエストポイントを獲得することもできます。"""
