TrialName_1Enemy#0,"""$(0)討伐"""
TrialBeginMsg_1Enemy#0,"""出現した$(0)を倒せ！"""
TrialAbstract_1Enemy#0,"""$(0)を倒す"""
TrialName_Multi#0,"""エネミー討伐"""
TrialBeginMsg_Multi#0,"""出現したエネミーを倒せ！"""
TrialAbstract_Multi#0,"""エネミーを倒す"""
NpcComOnForetaste#0,"""その付近に要警戒エネミーがいるようです！<br>至急、討伐をお願いします。"""
NpcComOnSuccess#0,"""エネミーの殲滅を確認しました！<br>即応、ありがとうございます。"""
NpcComOnFailure#0,"""エネミーが撤退しました。<br>……ひとまず、脅威は去りましたね。"""
NpcComOnForetasteNGS2#0,"""/voice11_voice_navi001_trial_0001_002 強力なエネミーの出現を確認！<br>そのあたりでは、ふだん見かけない個体です。注意してください！"""
NpcComOnSuccessNGS2#0,"""/voice11_voice_navi001_trial_0001_069 エネミーの撃破を確認しました！<br>対応いただき、ありがとうございます。"""
NpcComOnFailureNGS2#0,"""/voice11_voice_navi001_trial_0001_073 エネミーが撤退しました。<br>……深追いせず、別の目標を探しましょう。"""
NpcComOnForetaste_DryverusTrial#0,"""その付近に強力なエネミーがいるようです！<br>至急、対応をお願いします。"""
NpcComOnSuccess_DryverusTrial#0,"""エネミーへの対応、<br>ありがとうございます。"""
NpcComOnForetasteNGS2#1,"""あっ……、特殊なエネミーの出現を確認しました。<br>情報収集のために、討伐をお願いします。"""
NpcComOnSuccessNGS2#1,"""さすがは<%me>さんです。<br>討伐お疲れ様でした。"""
NpcComOnFailureNGS2#1,"""エネミーの撤退を確認しました……。<br>気にせず次に行きましょう！"""
