un_012490_0010#0,"""อ๊ะ......<br>ท่าน <%me>"""
un_012490_0020#0,"""...ร่างกาย ไม่เป็นไรหรอกค่ะ<br>เพราะท่านช่วยไว้ ตอนนี้เลยกลับมา<br>เคลื่อนไหวได้เหมือนปกติแล้วค่ะ"""
un_012490_0030#0,"""เพราะฉะนั้นไม่ต้องเป็นกังวลนะคะ<br>ชั้นรู้อยู่แล้วค่ะ<br>ว่าสักวันจะต้องเกิดเรื่องแบบนี้"""
un_012490_0040#0,"""แต่...ถึงจะรู้<br>ก็ไม่สามารถห้ามเค้าได้<br>เพราะชั้นไม่มีสิทธิ์ตรงนั้น..."""
un_012490_0050#0,"""ได้แต่หวังว่า ถ้าคอยอยู่<br>เคียงข้างเค้า ตลอดเวลา<br>เค้าคนเดิม อาจกลับมาก็ได้..."""
un_012490_0060#0,"""ชั้นเฝ้าภาวนาเพื่อรอสิ่งที่เป็นไปไม่ได้<br>และมองข้ามทุกสิ่งที่เค้าทำไว้..."""
un_012490_0070#0,"""สุดท้าย เรื่องก็จบลงแบบนี้<br>...ต้องเป็นแบบนี้อีกกี่ครั้งชั้นถึงจะพอใจ"""
un_012490_0080#0,"""ทำไม คนที่ถูกทิ้ง<br>ถึงต้องมีแต่ชั้นคนเดียวทุกครั้ง..."""
un_012490_0090#0,"""...ขอโทษที่พูดอะไรไร้สาระค่ะ<br>ช่วยลืมไปเถอะนะคะ ทั้งเรื่องของเค้า<br>และเรื่องของชั้น...ทุกเรื่อง..."""
un_012490_0010#1,"""あ……<br><%me>様。"""
un_012490_0020#1,"""……身体は、大丈夫です。<br>おかげさまで、特に不自由もなく<br>動けるようになりました。"""
un_012490_0030#1,"""ですから、どうか気になさらず。<br>いずれ、こうなるだろうということは<br>私にもわかっていました。"""
un_012490_0040#1,"""いえ……わかっていながら<br>あの方を止めなかった<br>私こそ、責められるべきです……"""
un_012490_0050#1,"""そっと、ずっと傍にいれば<br>いつかきっと、昔のあの方に<br>戻ってくれるって……"""
un_012490_0060#1,"""そんな、ありもしないことを願って<br>何もかもから目を逸らして……"""
un_012490_0070#1,"""結果、このようなことになるのです。<br>……いつも、私は同じ事を繰り返す。"""
un_012490_0080#1,"""どうして、いつも私だけ<br>残されていってしまうの……"""
un_012490_0090#1,"""……詮無き話でした。<br>忘れてください。あの方のことも<br>私の事も、全部……"""
