ssc_506020_0010#0,"""………。"""
ssc_506020_0020#0,"""……ダメだ。"""
ssc_506020_0030#0,"""……なにかが違う……。"""
ssc_506020_0040#0,"""む？<br>そこにいるのは誰だ。"""
ssc_506020_0050#0,"""なんだ、<%me>か。"""
ssc_506020_0060#0,"""フフ、気配を消すのが上手いな。<br>やはり、只者ではないようだ。"""
ssc_506020_0070#0,"""こんなところで、なにを？"""
ssc_506020_0080#0,"""なにかの練習中？"""
ssc_506020_0090#0,"""なに、ただの日課だ。"""
ssc_506020_0100#0,"""ここは、ひとりで修練を積むのに、<br>ちょうどいい場所でな。"""
ssc_506020_0110#0,"""練習……？<br>まあ、練習と言えば練習か。"""
ssc_506020_0120#0,"""……踊りの稽古だ。"""
ssc_506020_0130#0,"""稽古といっても、<br>師はもう居ないのだがな。"""
ssc_506020_0140#0,"""我が一族がもつのは“歌”の力だ。"""
ssc_506020_0150#0,"""だが、その力は、<br>歌のみによって成るものではない。"""
ssc_506020_0160#0,"""歌と踊りが一体になって、<br>初めて真の力が発揮される……。"""
ssc_506020_0170#0,"""そう、母に教えられてきた。"""
ssc_506020_0180#0,"""私は、歌はともかく、<br>この踊りが苦手でな。"""
ssc_506020_0190#0,"""稽古のときは、<br>幾度となく母から叱咤されたものだ。"""
ssc_506020_0200#0,"""……皆の前で歌うことをやめてからは、<br>長らく踊ることもなかったのだが。"""
ssc_506020_0210#0,"""再び歌うようになった以上、<br>踊りも手を抜くことは許されない。"""
ssc_506020_0220#0,"""そういうわけで、<br>時間を見つけて、稽古をしている。"""
ssc_506020_0230#0,"""……と、話しておいて、<br>なんだが……。"""
ssc_506020_0240#0,"""人に見られた状態では、<br>やりづらい。"""
ssc_506020_0250#0,"""もう少し、仕上がっていれば、<br>お前に評してもらうのもやぶさかではないが。"""
ssc_506020_0260#0,"""それとも、<br>お前も一緒に踊っていくか？"""
ssc_506020_0270#0,"""踊りはちょっと……。"""
ssc_506020_0280#0,"""戦いの訓練なら……。"""
ssc_506020_0290#0,"""フフフ、冗談だ。"""
ssc_506020_0300#0,"""ふむ。<br>それはそれで、興味があるな。"""
ssc_506020_0310#0,"""だが、またの機会にしよう。"""
ssc_506020_0320#0,"""踊りも歌も、皆の前で披露する前に、<br>しっかりと仕上げておく。"""
ssc_506020_0330#0,"""そのときは、<br>お前たちも見に来てくれ。"""
ssc_506020_0340#0,"""それではな。"""
ssc_506020_0350#0,"""……岩場の影から、<br>覗くでないぞ。"""
