un_012350_0005#0,"""[A Return to Ter'Jotr]<br>ใส่ข้อความ"""
un_012350_0010#0,"""<%me> คุง<br>กำลังรออยู่เลยแต่ไม่ใช่<br>ชั้นหรอกนะ เด็คนนี้ต่างหาก"""
un_012350_0020#0,"""[มังกรที่น่าสงสาร]<br>[ร่างนั้น] [ช่วยอะไรไม่ได้แล้ว]<br>[ต้องการใครสักคน] [มาช่วยปลดปล่อย]"""
un_012350_0030#0,"""[ถึงจะเกิด] [ต่างที่กัน]<br>[แต่ร่างนั้น] [จิตนั้น]<br>[ยังเป็นของ] [Ter'Jotr]"""
un_012350_0040#0,"""[เตรียมที่] [ให้เค้าหลับไหล]<br>[คนที่จะส่งเค้า] [ก็คือพวกคุณ]<br>[ท่าน Kamiz] [กล่าวไว้แบบนี้]"""
un_012350_0050#0,"""การรายงานว่าพบตัวมังกรคลั่งนั่น<br>ก็ค่อยๆ น้อยลงเรื่อยๆ<br>...คงใกล้ถึงขีดจำกัดแล้วล่ะ"""
un_012350_0060#0,"""มันเป็นสิ่งมีชีวิตที่มีค่าควรศึกษา<br>มากกว่าที่จะต้องมาถูกเก็บกวาด<br>ในวาระสุดท้ายนะ"""
un_012350_0070#0,"""...คนที่รับหน้าที่เก็บกวาดไม่น่าอภัยให้ก็จริง<br>แต่ไม่ว่าสิ่งใดในโลก ก็ล้วนต้องดับไปตามกาลเวลา<br>เสมือนเปลวไฟบนแท่งเทียนนั่นแหละ"""
un_012350_0080#0,"""นั่นแหละคือวงจรของธรรมชาติ<br>...ชั้นเองก็ช่วยอะไรไม่ได้<br>เพราะฉะนั้น พวกเธอคงต้องจัดการกันเองแล้ว"""
un_012350_0005#1,"""【テリオトーの元へ】<br>仮テキスト"""
un_012350_0010#1,"""<%me>くん。<br>待っていたよ、といっても<br>私ではなく、この子が、だがね。"""
un_012350_0020#1,"""〔かの哀しき龍〕<br>〔その身は〕〔すでに手遅れ〕<br>〔なればこそ〕〔手向けが必要〕"""
un_012350_0030#1,"""〔生まれ出でし場〕〔異なれど〕<br>〔その身〕〔その心〕<br>〔テリオトーと〕〔共にあるべき〕"""
un_012350_0040#1,"""〔眠る場は〕〔用意する〕<br>〔送る責務は〕〔貴方たち〕<br>〔それがカミツ様の〕〔お言葉だ〕"""
un_012350_0050#1,"""あの暴走龍については<br>目撃報告も少なくなっている。<br>……限界が近いのだろうな。"""
un_012350_0060#1,"""その意志があるうちに、導き<br>最後の始末をつけるのもまた<br>知恵ある存在の責務だ。"""
un_012350_0070#1,"""……命を粗末にする者は許せないが<br>消えるろうそくの炎を<br>再びくべることはまかりならない。"""
un_012350_0080#1,"""それは自然の摂理に反する。<br>……私に取れる手はないってことさ。<br>だから、あとはキミたちの役目だ。"""
