un_047030_0010#0,"""ふああ……ひっろ……！<br>ここが、アースガイドの本部なの……？"""
un_047030_0020#0,"""ほらコオリ、そんなにはしゃがない。<br>せっかく呼ばれたのに、失礼よ。"""
un_047030_0030#0,"""何言ってやがる。<br>誰かさんそっくりの反応じゃねーか。"""
un_047030_0040#0,"""うるさい。"""
un_047030_0050#0,"""鷲宮氷莉さん。<br>ようこそいらっしゃいました。<br>アーデム＝セークリッドです。"""
un_047030_0060#0,"""エンガやヒツギさん共々<br>地球の進化、その未来を担うであろう<br>貴方に会うことができて、嬉しいです。"""
un_047030_0070#0,"""あっ、これはご丁寧にどうも……<br>でもわたし、そんな大層な人じゃないですよ。"""
un_047030_0080#0,"""謙遜は無用です。<br>進化に行き詰まっていた地球において<br>エーテルを扱うことの出来る貴方達は、鍵です。"""
un_047030_0090#0,"""皆さんは、もっとご自身の力を誇っていい。<br>その能力は地球を新たな進化へ導く、希望の光。<br>次代を担う人類として、自覚を。"""
un_047030_0100#0,"""自覚と言われても……<br>わたしはヒツギちゃんのそばに居られれば<br>それだけでいいんですけど。"""
un_047030_0110#0,"""あたしはアルを助けたいだけ。<br>だからそういうめんどくさそうなのは<br>……兄さん、よろしくね。"""
un_047030_0120#0,"""オレだって何度も聞かされてて耳タコだ。<br>……誰彼構わず話すのな、それ。"""
un_047030_0130#0,"""れっきとした事実、だからね。"""
un_047030_0140#0,"""こればっかりは<br><%me>さん達アークスを<br>頼るわけにもいかない、地球自体の問題さ。"""
un_047030_0150#0,"""進化が止まり、行き詰まった人々を<br>新しいステージに押し上げないと<br>その先に待つのは、破滅だよ。"""
un_047030_0160#0,"""マザーを倒すことも重要。<br>だけどその先を考えることもまた、重要なんだ。"""
un_047030_0170#0,"""……為政者的な物言いだな。<br>上見すぎてて、足下すくわれないように<br>気をつけろよ。"""
un_047030_0180#0,"""大丈夫さ。<br>僕の足下はエンガが守ってくれてるじゃないか。"""
un_047030_0190#0,"""……と、会談の予定が入っているんだった。<br>すみません、僕はこれで失礼します。<br>皆さんはどうかごゆっくりお過ごしください。"""
un_047030_0200#0,"""忙しそうだね、アーデムさん。"""
un_047030_0210#0,"""まー、紛争調停やら交渉やらなにやらと<br>顔が利く分引っ張り出されてるからな。"""
un_047030_0220#0,"""とはいえ、しっかり見返りは<br>もらってるだろうし、同情する必要はねーぞ。"""
un_047030_0230#0,"""……わたし、ちょっとあの人苦手かも。<br>すごく、切羽詰まってる感じがする。"""
un_047030_0240#0,"""……切羽詰まってる、ねえ。<br>世の中憂いているのはいつものことだが<br>最近は確かにそのケが強いかもな。"""
