name_7002#0,"""アイナ"""
name_7034#0,"""ルーシア"""
name_7004#0,"""クロフォード"""
name_7001#0,"""マノン"""
msn_041180_0010#0,"""各リージョンを回ったけど、記憶の手がかりは、見つからなかったね。<br>……ルーシア、大丈夫？"""
msn_041180_0020#0,"""それでも、無駄じゃなかったと思う。記憶は空っぽのままだけど……<br>少なくとも今は、ひとりきりじゃないって思えるから。"""
msn_041180_0030#0,"""ルーシア……うん、一緒に頑張ろう！"""
msn_041180_0040#0,"""取り込み中のところ、すまない。<br>キミたちに、至急知らせたいことがある。"""
msn_041180_0050#0,"""クロフォード！\u3000どうしたの？"""
msn_041180_0060#0,"""クヴァリスで調査をしていたイルマから、<br>ある“異変”についての緊急の報告が届いたんだ。"""
msn_041180_0070#0,"""内容は、こちらに着いてから伝える。<br>悪いが、できる限り早く来てくれ。頼んだよ。"""
msn_041180_0080#0,"""異変って、何のことかしら。"""
msn_041180_0090#0,"""只事ではなさそうね。指令室へ急ぎましょう。"""
