IncidentName#0,"""擊敗所有的討伐對象！"""
TrialBeginMsg#0,"""緊急指令！包括$(0)<br>在內，請擊敗所有的敵人！"""
TrialAbstract#0,"""緊急指令！包括$(0)<br>在內，請擊敗所有的敵人！"""
TargetName#0,"""將所有討伐對象"""
NpcComOnBegin#0,"""發現更多敵意反應！<br>所有人員請維持戰鬥態勢的同時<br>迅速進行對應！"""
NpcComOnSuccess#0,"""/face2 辛苦了！<br>感謝所有人員臨機應變的<br>對應！"""
NpcComOnBegin#1,"""還附加贈送這些敵方存在麼......<br>所有人員維持現狀的同時<br>也別忘了應付新來的敵人。"""
NpcComOnSuccess#1,"""好，都解決了。<br>緊急狀況時的對應方式也很正確。"""
NpcComOnBegin#2,"""什麼，還來啊！？<br>各位請再次提高警覺！<br>有些東西要來了！"""
NpcComOnSuccess#2,"""/face2 總、總算結束了。<br>終於能鬆口氣了，幸好沒事。"""
NpcComOnBegin#3,"""敵性存在の追加出現を確認。<br>各員は目標の排除を。"""
NpcComOnSuccess#3,"""目標消失、任務完了。<br>適切な対応でした。"""
NpcComOnBegin#4,"""新たな敵性反応が出現です！<br>同時に相手するしかなさそうですね……<br>よろしくお願いします！"""
NpcComOnSuccess#4,"""周囲の敵性反応は全て消失しました！<br>これで一段落ですね！<br>お疲れさまです！"""
NpcComOnBegin#5,"""新たな敵性反応が出現です！<br>同時に相手するしかなさそうですね……<br>よろしくお願いします！"""
NpcComOnSuccess#5,"""周囲の敵性反応は全て消失しました！<br>これで一段落ですね！<br>お疲れさまです！"""
