ssc_506040_0010#0,"""<%me>か。"""
ssc_506040_0020#0,"""各地での活躍、<br>聞きおよんでいるぞ。"""
ssc_506040_0030#0,"""スティアでも、<br>大きな戦功をあげたようだな。"""
ssc_506040_0040#0,"""大したことはしていない。"""
ssc_506040_0050#0,"""みんなが頑張った結果。"""
ssc_506040_0060#0,"""そう謙遜するな。"""
ssc_506040_0070#0,"""お前の力は、<br>誰もが認めるところだ。"""
ssc_506040_0080#0,"""そうであろうな。"""
ssc_506040_0090#0,"""我々もお前たちとともに戦い、<br>勝利を得た。"""
ssc_506040_0100#0,"""個の力だけでは、<br>ドールズは打ち負かせない。"""
ssc_506040_0110#0,"""……ところで、スティアには<br>数多くのドールズに関する施設があったと聞く。"""
ssc_506040_0120#0,"""なかでも、プラントと呼ばれる場所は、<br>マクアドの下層部に酷似していて……。"""
ssc_506040_0130#0,"""そこには、ドールズを製造する設備もあったとか。"""
ssc_506040_0140#0,"""うーむ……。"""
ssc_506040_0150#0,"""ドールズは、自然発生する<br>生物のようなものだと思っていたが……。"""
ssc_506040_0160#0,"""どうやら違ったようだ。"""
ssc_506040_0170#0,"""ドールズを……造った者がいる？<br>誰が、いつ、なんのために？"""
ssc_506040_0180#0,"""……いや、疑問は多々あるが、<br>残念ながらそういう調べごとは埒外だ。"""
ssc_506040_0190#0,"""クロフォードたちに任せるとしよう。"""
ssc_506040_0200#0,"""我々、リテムのアークスは、<br>新たな戦いの準備を進める。"""
ssc_506040_0210#0,"""ようやく、レヌス・リテムとの戦いの傷が癒え、<br>各隊の再編が進みつつある。"""
ssc_506040_0220#0,"""世界の未知なるものが既知となるなかで、<br>いつまでも守りの姿勢ではいられない。"""
ssc_506040_0230#0,"""攻めの体制を整えていく。"""
ssc_506040_0240#0,"""これからは、エアリオだけでなく、<br>クヴァリスやスティアとの連携も考えねばなるまい。"""
ssc_506040_0250#0,"""イルマたちのチームワークはすごい。"""
ssc_506040_0260#0,"""グレンたちは、プロフェッショナルの集団だ。"""
ssc_506040_0270#0,"""少人数で、クヴァリスの再建に、<br>専心しているそうだな。"""
ssc_506040_0280#0,"""ほう、こちらも負けてられないな。"""
ssc_506040_0290#0,"""最近は、皆の意識も変わり始めている。"""
ssc_506040_0300#0,"""受け継がれてきた<br>リテムの伝統を重んじつつも……。"""
ssc_506040_0310#0,"""異なる考えをもつ者たちと、手をとりあう。"""
ssc_506040_0320#0,"""その関わりあいのなかで、<br>変わることを恐れてはならない。"""
ssc_506040_0330#0,"""先入観をもたず、<br>優れたものは貪欲にとりいれる。"""
ssc_506040_0340#0,"""数多の脅威に立ち向かうには、<br>それが正しい選択だと、身をもって学んだのだ。"""
ssc_506040_0350#0,"""……まだまだ、大きな戦いが待ち受けている。"""
ssc_506040_0360#0,"""平穏な暮らしのために、<br>避けては通れぬ道だ。"""
ssc_506040_0370#0,"""これからも、ともに励んでいこう。<br>よろしく頼む。"""
