un_020300_0010#0,"""<%me>－－！<br>呀呵，你好麼－－？"""
un_020300_0020#0,"""人家啊，正在做不知道第幾次的<br>微服出訪當中啊。<br>行蹤隱蔽也很完善吧。"""
un_020300_0030#0,"""偶像還需要隱蔽行蹤，<br>感覺上還真的很怪呢。<br>就當是出了名真辛苦囉。"""
un_020300_0040#0,"""嗯？　我繼續當偶像的理由麼？<br>為了保命啊，怎麼了？"""
un_020300_0050#0,"""你看啊，人家這樣的<br>不是隨時都可能<br>被抹煞掉麼？"""
un_020300_0060#0,"""所以說，如果當偶像<br>而且更加有名，<br>就不好對人家下手囉。"""
un_020300_0070#0,"""因為不可能完美消除<br>所有的痕跡啊。"""
un_020300_0080#0,"""而且，人家用了「舞」，<br>很容易從人的記憶中淡忘呢。<br>那能讓人家的影子在世界中變得稀薄。"""
un_020300_0090#0,"""但是，要是作為偶像繼續努力，<br>就算我會被人抹煞，<br>其他人心裡也會記得人家呢。"""
un_020300_0100#0,"""風潮不過一時，<br>人走茶漸涼......<br>那是人家力有不迨的。"""
un_020300_0110#0,"""但是，就算是暫時也好，<br>只要能停留在大家的回憶當中......<br>人家會努力當個偶像的。"""
