Title#0,"""Dragon Altar Probe"""
Explanation#0,"""Your task is to explore the Dragon Altar worshipped by the dragorii of the Amduskian Skyscape.<br><br>Each of you is encouraged to freely explore the Dragon Altar.<br><br>----------------------------------------<br>You will fail if you lose the final battle."""
Title#1,"""龍祭壇探索"""
Explanation#1,"""惑星アムドゥスキアの浮遊大陸に存在する<br>龍族を祭る龍祭壇の調査が目的となる。<br><br>龍祭壇を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""Reach the final area!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Must have a license to accept Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
