st_058140_0010#0,"""バカな……っ！<br>僕が……負ける……！？<br>現在よりも先を知る、僕が……っ！"""
st_058140_0030#0,"""<%me>さんが<br>今までどれだけの困難を<br>乗り越えてきたと思ってるんですか！"""
st_058140_0040#0,"""貴方は【深遠なる闇】にも……<br>いえ、【仮面】にも及びません！"""
st_058140_0060#0,"""ハリエットを返してもらう！"""
st_058140_0070#0,"""ハリエット、今助ける！"""
st_058140_0090#0,"""させるか……よぉッ！"""
st_058140_0110#0,"""ぐ……はっ……！"""
st_058140_0120#0,"""……はは、はははっ！<br>ははははははははっ！"""
st_058140_0130#0,"""ばぁぁぁーか！"""
st_058140_0150#0,"""いやあ。本当に、サ。<br>困っていたんだよねえ、僕。"""
st_058140_0160#0,"""器が持っていかれちゃって……<br>そこに魂が宿っちゃってェ……<br>その結びつきが思いの外強くて……"""
st_058140_0170#0,"""困ってた。ほーんと困ってた。<br>そこに現れてくれたのが<br>守護輝士、君ってワケだ。"""
st_058140_0180#0,"""ありがとう、斬ってくれて。<br>僕を切り離してくれて、ありがとう。<br>おかげで、僕は僕に戻れるの、サ。"""
st_058140_0190#0,"""……ハリエットさんは！？"""
st_058140_0200#0,"""ハリエットぉ？<br>そんな弱い魂、もういないよ！"""
st_058140_0220#0,"""僕が【仮面】に及ばない？<br>【深遠なる闇】に及ばない？"""
st_058140_0230#0,"""ははは！\u3000そんなの当然さあ！<br>コレは、僕の本当の身体じゃ<br>なかったんだからねェ！"""
st_058140_0250#0,"""さぁ、センパイ。<br>ここからが本番。<br>再戦といこうじゃあないか。"""
st_058140_0270#0,"""反応……今までのダークファルスと<br>比較しても、桁が違います！<br>もはや、【深遠なる闇】と同等……！"""
st_058140_0280#0,"""そりゃあそうさあ。<br>僕は、そういうモノだからねえ。"""
st_058140_0290#0,"""【巨躯】、【若人】、【敗者】、【双子】<br>そして【仮面】の因子を得<br>相応しい器に戻った、僕の力……"""
st_058140_0300#0,"""【深遠なる闇】として、正しく世界を潰し<br>フォトンの全てを消し去ろうじゃないか。"""
st_058140_0310#0,"""フォトンの消滅、すなわちそれは<br>アカシックレコードの消滅と同じ、サ。<br>僕は、宇宙の記憶を消し飛ばす！"""
st_058140_0320#0,"""楽しい記憶も悲しい記憶も<br>怒りの記憶も喜びの記憶も<br>区別無く、全てを無に戻してやるさあ！"""
st_058140_0340#0,"""……そんなことは、させません。"""
st_058140_0360#0,"""ハリエット……さん？"""
st_058140_0370#0,"""貴様……ハリエットの、魂……！？<br>なぜ残っている！\u3000消えたはずだ！<br>この期に及んで、抵抗するというのか！"""
st_058140_0380#0,"""……この身が異形となろうとも<br>魂まで異形に身をやつしたわけでは<br>ありません。"""
st_058140_0390#0,"""大好きな世界を……皆を守るために<br>……この魂はあるのです。<br>この心は、そのために生まれたのです！"""
st_058140_0400#0,"""兄様。今、ようやくわかりました。<br>ようやく、見つけました。<br>私が、ここにいる意味を。"""
st_058140_0410#0,"""……守護輝士、伝承にある救世の士。<br>新たな伝承を、ここに刻んでください！<br>どうか……どうか！"""
st_058140_0430#0,"""ハリエットも一緒だ"""
st_058140_0440#0,"""君が語り継ぐんだ"""
st_058140_0460#0,"""……っ！<br>守護輝士、貴方はどこまで……！"""
st_058140_0480#0,"""出来損ないの魂！<br>ダークファルスのなり損ない！<br>貴様ら如きに、何が出来るものか！"""
st_058140_0490#0,"""世界は……宇宙はここで消し潰す！<br>記録を消して、塗りつぶす！"""
st_058140_0510#0,"""何も消させやしない"""
st_058140_0520#0,"""救ってみせる"""
st_058140_0530#0,"""……同感だ。<br>この程度の存在に消されるなど<br>不愉快極まりない。"""
line01#0,"""ここまでのクエストの進行を記録しました。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
