name_7631#0,"""カフティ"""
ssn_019090_005_0001#0,"""あっ、シトレーのことですか？"""
ssn_019090_005_0002#0,"""私が、輸送隊のトラックを見つけたときは、<br>なんだかエネミーと戦っていまして。"""
ssn_019090_005_0003#0,"""助けてあげたくても、私は戦えないから、<br>オロオロするしかなくて。"""
ssn_019090_005_0004#0,"""で、私がオロオロしてるうちに、<br>いつの間にか戦いが終わってて。"""
ssn_019090_005_0005#0,"""……輸送隊の人たち、<br>みんなしょぼくれてました。"""
ssn_019090_005_0006#0,"""で、私もしょんぼりしちゃって。"""
ssn_019090_005_0007#0,"""コンテナが壊れてたから、<br>中身がダメになっちゃったのかな？"""
ssn_019090_005_0008#0,"""もしかして、途中で“なにか持ってる”ような、<br>影が見えたんだけど、あれって関係あるんでしょうか？"""
ssn_019090_005_0009#0,"""暗がりでよく見えなかったけど、<br>あれ……なんだったんでしょう。"""
ssn_019090_005_0010#0,"""あ？\u3000あれ？<br>気になってきちゃいました。怖い……。"""
ssn_019090_005_0011#0,"""あ、アークスの人ですね。"""
ssn_019090_005_0012#0,"""頑張ってください。"""
ssn_019090_005_0013#0,"""私、なにを見たんでしょう。"""
ssn_019090_005_0014#0,"""怖いぃ……。"""
