MainMenu_Title#0,"""촬영 스튜디오 단말"""
MainMenu_ChangeWeather#0,"""날씨 변경"""
MainMenu_Refresh#0,"""스테이터스 변경"""
MainMenu_GotoEsthe#0,"""에스테로 이동"""
MainMenu_ReturnCampship#0,"""캠프쉽으로 이동"""
MainMenu_QuestClear#0,"""퀘스트 클리어"""
MainMenu_LeaderOnly#0,"""파티 리더만 실행할 수 있습니다"""
MainMenu_CloseMenu#0,"""취소"""
GotoEstheYesNo_Title#0,"""메시지"""
GotoEstheYesNo_Message#0,"""에스테로 이동하면<br>「파트너 호출 단말기」로 호출한<br>파트너는 파티에서 탈퇴합니다.<br><br>진행하시겠습니까?"""
Button_Yes#0,"""예"""
Button_No#0,"""아니오"""
QuestClearYesNo_Title#0,"""퀘스트 클리어 확인"""
QuestClearYesNo_Message#0,"""（仮）クエストをクリアします？<br>※クエストクリアを実行するとキャンプシップに移動します。"""
ReturnCampshipYesNo_Title#0,"""메시지"""
ReturnCampshipYesNo_Message#0,"""캡프쉽으로 돌아가시겠습니까?"""
Weather_Title#0,"""날씨 선택"""
Weather1#0,"""날씨１"""
Weather2#0,"""날씨２"""
Weather3#0,"""날씨３"""
Weather4#0,"""날씨４"""
Weather5#0,"""날씨５"""
Weather6#0,"""날씨６"""
Weather7#0,"""날씨７"""
Weather8#0,"""날씨８"""
Weather9#0,"""날씨９"""
Weather10#0,"""날씨10"""
