IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""กำจัด $(0) ที่ซ่อนตัวอยู่ใน Hinterland!"""
TrialAbstract#0,"""กำจัด $(0) ทุกตัวที่พบ!"""
IncidentName#1,"""$(0)討伐"""
TrialBeginMsg#1,"""奥地に潜む$(0)を討伐せよ！"""
TrialAbstract#1,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""ประกาศฉุกเฉิน:<br>ตรวจพบปฏิกริยาศัตรูที่แข็งแกร่งมาก<br>โปรดเตรียมจู่โจมโดยด่วน"""
NpcComOnSuccess#0,"""ปฏิกริยาศัตรูหายไปแล้ว<br>ขอบคุณทุกท่านสำหรับความร่วมมือ"""
NpcComOnFailure#0,"""/face4 ไม่พบเจ้าหน้าที่ที่กำลังต่อสู้อยู่แล้ว<br>เริ่มต้นการเคลื่อนย้ายกลับไปยัง Camp Ship"""
HP_Under_50#0,"""พลังของ $(0) ลดลงแล้ว!"""
HP_Under_10#0,""" $(0) ใกล้จะตายแล้ว!"""
NpcComLastEnemy#0,"""ยังเหลืออีกหนึ่งตัว!"""
NpcComOnBegin#1,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#1,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#1,"""/face4 交戦中の隊員の反応が消失しました。<br>ただちにキャンプシップへの<br>転送を図ります。"""
HP_Under_50#1,"""$(0)残存体力、低下！"""
HP_Under_10#1,"""$(0)残存体力、あとわずかです！"""
NpcComLastEnemy#1,"""残り一体です！"""
NpcComOnBegin#2,"""ประกาศฉุกเฉิน<br>ตรวจพบปฏิกริยาศัตรูที่แข็งแกร่งมาก<br>โปรดเตรียมพร้อมโจมตีด่วน"""
NpcComOnSuccess#2,"""ยืนยันการหายไปของปฏิกริยาศัตรู<br>ทำได้ดีมาก"""
NpcComOnFailure#2,"""ชิ... เราเป็นฝ่ายแพ้เหรอ...<br>เริ่มต้นทำการเคลื่อนย้ายกลับ Camp Ship"""
HP_Under_50#2,"""พลังของ $(0) ลดลงแล้ว!"""
HP_Under_10#2,""" $(0) ใกล้จะตายแล้ว!"""
NpcComLastEnemy#2,"""ยังเหลืออีกหนึ่งตัว! อย่าประมาทล่ะ!"""
NpcComOnBegin#3,"""緊急通達だ。<br>強力な敵性反応が確認された。<br>早急に撃破しろ。"""
NpcComOnSuccess#3,"""敵性反応の消失を確認。<br>よくやったな。"""
NpcComOnFailure#3,"""ちっ、こちらがやられたか……<br>キャンプシップへの転送を行う。"""
HP_Under_50#3,"""$(0)残存体力、低下！"""
HP_Under_10#3,"""$(0)残存体力、あとわずかだ！"""
NpcComLastEnemy#3,"""残り一体だ！\u3000気を抜くな！"""
NpcComOnBegin#4,"""ปะ...ประกาศฉุกเฉิน!<br>ตรวจพบปฏิกริยาของคุณศัตรูที่แข็งแกร่งมาก<br>รีบเตรียมตัวโจมตีด่วน!"""
NpcComOnSuccess#4,"""/face2 ปฏิกริยาของคุณศัตรูหายไปแล้ว!<br>ขอบคุณมากเลยค๊าทุกคน!"""
NpcComOnFailure#4,"""/face6 อ๊าาา... ARKS ที่กำลังต่อสู้อยู่<br>แพ้ซะแล้วววว...<br>กำลังเคลื่อนย้ายกลับมายัง Camp Ship ค่ะ... """
HP_Under_50#4,"""พลังของ $(0) ลดลงแล้ว!"""
HP_Under_10#4,""" $(0) ใกล้จะตายแล้ว!"""
NpcComLastEnemy#4,"""/face2 อีกหนึ่งตัว! อีกแค่หนึ่งตัว!"""
NpcComOnBegin#5,"""きっ、緊急通達ですー！<br>強力な敵さんの反応を確認！<br>急いで撃破しちゃってくださーい！"""
NpcComOnSuccess#5,"""/face2 敵さんの反応消失ーっと！<br>みなさん、お疲れ様でしたー！"""
NpcComOnFailure#5,"""/face6 あああー……交戦中のアークス<br>やられちゃいましたぁ……<br>キャンプシップへ転送しますー……"""
HP_Under_50#5,"""$(0)残存体力、低下ですよー！"""
HP_Under_10#5,"""$(0)残存体力、あとわずかですよー！"""
NpcComLastEnemy#5,"""/face2 あと一体！\u3000あと一体！"""
