11_voice_NPC_5021_105#0,"""พวก ARKS ในระยะนี้น่ะละเลยการ<br>แอพพีลตัวเองมากจนเกินไป!<br>ทั้ง ๆ ที่พวกที่ดูสง่างามเองก็มีอยู่แท้ ๆ !"""
text02#0,"""เพื่อให้ฝ่ายตรงข้ามได้รู้เรื่องของเรา ก่อนอื่น<br>ก็ต้องเริ่มที่ตัวเรา ไม่จำเป็นต้องพูดมาก<br>ขอแค่มี ARKS ID นี่ก็เข้าใจกันได้แล้ว!"""
text03#0,"""โว้ย พูดไปก็รังแต่สร้างความ<br>ไม่สบายใจให้ข้า<br>ท่าน ตอนนี้ทำการแก้ไขเลยดีกว่า!"""
text04#0,"""แก้ไขอะไรงั้นเรอะ มันก็แน่อยู่แล้วนี่นา<br>แก้ไข ARKS ID ของท่านยังไงล่ะ!"""
text05#0,"""เอ้า เอ้า แก้ไขเลย!<br>มันไม่ใช่เรื่องที่อยากขนาดนั้นหรอก<br>ช่วยปัดเป่าความไม่สบายใจของข้าทีเถอะ!"""
text100#0,"""ARKS ID"""
text101#0,"""\""เกี่ยวกับ ARKS ID\""<br><br>\""ARKS ID\"" เป็นบัตรแนะนำส่วนบุคคลของท่านที่<br>ท่านสามารถใส่ชื่อตัวละครและความสนใจของท่าน<br><br>นอกจากนี้ท่านยังสามารถปรับแต่งการ์ดของท่านโดยการเขียนความเห็น<br>หรือการตั้งค่าศิลปะสัญลักษณ์ที่ท่านชื่นชอบ"""
text102#0,"""แก้ไข ID ของท่านโดยเลือก \""แก้ไข ARKS ID\"" จาก<br>\""ข้อมูลตัวละคร\"" ภายใต้ \""เมนูหลัก\""<br><br>หลังจากที่เนื้อหาที่จะแก้ไขใน ARKS ID ปรากฏ<br>เลือกสิ่งที่ท่านต้องการที่จะแก้ไขและทำรายการของท่าน"""
text103#0,"""เห็นคนอื่น \""ARKS ID\"" โดยการเลือก<br>\""ดู ARKS รหัส\"" จาก \""รายชื่อเพื่อน\""<br><br><br>ระวังอย่าให้เขียนข้อมูลที่สามารถใด<br>ระบุตัวท่านเช่นหมายเลขโทรศัพท์หรือที่อยู่ของท่าน<br>ตั้งแต่ \""ARKS ID\"" ของท่านจะทำให้ประชาชนที่จะ <yellow> เพื่อนและคนอื่น ๆ <c>"""
11_voice_NPC_5021_105#1,"""昨今のアークスは己をアピールする事を<br>軽視しすぎている！<br>奥ゆかしいにも程があるぞ！"""
text02#1,"""相手を知る為には、まずは己から。<br>語らずとも、このアークスカードだけで<br>互いの事が分かりあえるのだ！"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐ編集するのだ！"""
text04#1,"""何を、って、決まっているだろう。<br>アークスカードの編集だ！"""
text05#1,"""さあ、さあ、編集したまえ！<br>そんなに難しい話ではないだろう。<br>私の不安を払拭してくれ！"""
text100#1,"""『アークスカード』について"""
text101#1,"""「アークスカードについて」<br><br>「アークスカード」はキャラクター名や趣味などを<br>入力することが出来る自己紹介カードです。<br><br>他にも、自由なコメントやお気に入りのシンボルアートを<br>設定することで、個性的なカードを作ることが可能です。"""
text102#1,"""カードの編集は「メインメニュー」の「マイデータ」から<br>「アークスカード編集」を選択すると、行えます。<br><br>アークスカードの編集する内容が出てきますので<br>編集したい内容を選択して、入力してください。"""
text103#1,"""他の人が作った「アークスカード」は「フレンドリスト」<br>から、「アークスカードを見る」を選択することで<br>見ることが可能です。<br><br>注意点としては、自分の作った「アークスカード」も<br><yellow>フレンドや他の人に公開されるため、電話番号や住所等<br>個人を特定出来る情報等は書き込まないようにしましょう。<c>"""
