Title#0,"""Environmental Mission: Coast """
Explanation#0,"""We've received intel from the coastal region of <br>Planet Wopal about abnormal growth of the unique <br>plant species called the Fusillade Flower.<br>The Fusillade Flower possesses attack skills that seem <br>impossible for a plant, and is having a huge <br>influence on its environment. All ARKS personnel <br>must prepare to set out immediately, <br>to exterminate the multiplying Fusillade Flowers<br> in the deepest part of the Wopal Coast. <br>Failure conditions: Failure to destroy within time limit."""
Title#1,"""環境保全任務：海岸"""
Explanation#1,"""惑星ウォパル、海岸エリアの最奥にて<br>ウォパル特有の植物「砲仙花」が<br>異常発生しているとの報告を受けた。<br>砲仙花は植物とは思えない攻撃能力を持ち<br>周囲の環境へ与える影響が非常に大きい。<br>アークス各員は準備が出来次第出撃し<br>ウォパル海岸エリアの最奥にて<br>異常発生している「砲仙花」を駆除せよ。<br>――――――――――――――――――――<br>失敗条件/駆除の失敗"""
SimpleExplanation#0,"""Exterminate the Fusillade Flower in the final area!"""
SimpleExplanation#1,"""最深部の砲仙花を駆除せよ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Must have a license to accept Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
