TitleLogo_Enter#0,"""กดเพื่อเริ่มเกม"""
TitleLogo_Start#0,"""PRESS START BUTTON"""
TitleLogo_CopyRight#0,"""(C) SEGA"""
TitleLogo_Enter#1,"""PUSH ENTER KEY"""
TitleLogo_Start#1,"""PRESS START BUTTON"""
TitleLogo_CopyRight#1,"""(C)SEGA"""
Title_IdSelect#0,"""Login ID"""
Title_IdSelect_v#0,"""Login ID"""
Title_Login#0,"""เลือก Ship"""
Title_StartMenuSelect#0,"""เมนูเริ่มต้น (Ship: $(0))"""
Title_StartMenuSelect_Vita#0,"""เมนูเริ่มต้น"""
Title_CharacterSelect#0,"""เลือกตัวละคร (Ship:$(0))"""
Title_CharacterSelect_Vita#0,"""เลือกตัวละคร"""
Title_CharacterMake#0,"""สร้างตัวละคร"""
Title_BenchmarkMenu#0,"""ตรวจสอบสมรรถนะเครื่อง"""
Title_ShipList#0,"""รายชื่อ Ship"""
Title_CharacterList#0,"""รายชื่อตัวละคร"""
Title_StartMenu#0,"""เมนูเริ่มต้น"""
Title_FirstPlay#0,"""สำหรับท่านที่เพิ่งเริ่มเล่น"""
Title_RecommandShip#0,"""เริ่มเล่นเกมครั้งแรก"""
Title_IdSelect#1,"""ログインID選択"""
Title_IdSelect_v#1,"""ログインID選択"""
Title_Login#1,"""シップ選択"""
Title_StartMenuSelect#1,"""スタートメニュー\u3000（接続シップ：$(0)）"""
Title_StartMenuSelect_Vita#1,"""スタートメニュー"""
Title_CharacterSelect#1,"""キャラクター選択\u3000（接続シップ：$(0)）"""
Title_CharacterSelect_Vita#1,"""キャラクター選択"""
Title_CharacterMake#1,"""キャラクタークリエイト"""
Title_BenchmarkMenu#1,"""ベンチマーク"""
Title_ShipList#1,"""シップ一覧"""
Title_CharacterList#1,"""キャラクター一覧"""
Title_StartMenu#1,"""スタートメニュー"""
Title_FirstPlay#1,"""はじめてプレイされる方へ"""
Title_RecommandShip#1,"""はじめてゲームを開始する"""
