text01#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
11_voice_NPC_5150_100#0,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text03#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text04#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text01#1,"""お帰りなさいませ！<br>報告を拝見させていただきましたが<br>素晴らしい結果でしたわ！"""
11_voice_NPC_5150_100#1,"""私、まだまだ未熟ですけども<br>デュアルブレードの扱いは<br>ほかより少しマシなんですの。"""
text03#1,"""私が扱えるものですし、ぜひぜひ<br>使用していただければと思いますわ！"""
text04#1,"""それでは、また！<br>ごきげんよう。"""
text00#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
text01#2,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text02#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text00#1,"""『デュアルブレードギア』について"""
text01#3,"""デュアルブレードのギアシステムについて、説明します。<br><br>デュアルブレードの攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text02#1,"""ギアゲージが高まるとフォトンブレードが使用可能となります。<br><br>武器アクションを行うことによって<br>フォトンブレードを対象に向けて発射することができます。<br><br>フォトンブレードが刺さった部位を攻撃することで<br>追加でＰＰが回復し、ギアゲージの蓄積量も増加します。"""
