st_012120_0010#0,"""……ハドレッドの始末完了報告は<br>問題なく受理されたよ。"""
st_012120_0020#0,"""これにて、一連の騒動はおしまい！<br>一件落着、ってところかな。"""
st_012120_0030#0,"""あたし？\u3000これから？<br>変わらないよ、いつも通り。"""
st_012120_0040#0,"""アイドルであることも続けるし<br>それだけじゃないことも、ね。"""
st_012120_0050#0,"""……でも、課された役割を<br>こなすだけじゃなくて<br>自分で考えて動こうと思ってる。"""
st_012120_0053#0,"""ま、まずは残されちゃった<br>あたしたちの不始末、かな。"""
st_012120_0056#0,"""ハドレッドのほかの暴走龍……<br>あの子達も送ってあげないと<br>かわいそうだからね。"""
st_012120_0060#0,"""あいつが……あたしのために<br>動いてくれたように<br>あたしも、誰かのために……"""
st_012120_0070#0,"""あなたには、本当に<br>なにからなにまで世話になって<br>何とお礼を言っていいか、わからない。"""
st_012120_0080#0,"""けど、改めて言わせて欲しい。"""
st_012120_0090#0,"""ありがとう。<br>ハドレッドを、送ってくれて<br>本当に、ありがとう。"""
st_012120_0100#0,"""……この恩は忘れません。<br>あなたが忘れても<br>わたしは絶対に忘れません。"""
st_012120_0110#0,"""だから、またいずれ。<br>次に会う時は、わたしがあなたの<br>力となれるように……がんばる。"""
st_012120_0120#0,"""A.P.238/4/25/10:00"""
linewindow001#0,"""クーナをパートナーとして呼べるようになりました。"""
