IncidentName#0,"""จู่โจม $(0)"""
TrialBeginMsg#0,"""คำสั่งด่วน!<br>กำจัด $(0) ทั้งหมด!"""
TrialAbstract#0,"""กำจัด $(0) ที่พบ!"""
IncidentName#1,"""$(0)撃破"""
TrialBeginMsg#1,"""緊急指令！<br>$(0)を撃破せよ！"""
TrialAbstract#1,"""乱入してきた<br>$(0)を撃破せよ！"""
NpcComOnPreBegin#0,"""พบปฏิกริยาศัตรูที่แข็งแกร่ง!<br>ดูเหมือนจะเป็นชนิดเดียวกับที่เรากำลังต่อสู้อยู่!"""
NpcComOnBegin#0,"""ข้อความด่วน<br>พบปฏิกริยาศัตรูที่แข็งแกร่ง<br>รีบกำจัดมันโดยเร็วที่สุด!"""
NpcComOnSuccess#0,"""/face2 ศัตรูทั้งหมดในบริเวณใกล้เคียงถูกกำจัดหมดแล้ว!<br>ทำได้ดีมาก!"""
NpcComOnFailure#0,"""/face4 ภารกิจล้มเหลว<br>ขอให้หน่วยปฏิบัติการทุกคนกลับไปประจำหน้าที่ของตัวเองด้วย"""
NpcComOnPreBegin#1,"""強力な敵性存在の反応検知！<br>現在交戦中のと同種と推測されます！"""
NpcComOnBegin#1,"""緊急通達。<br>強力な敵性存在を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#1,"""/face2 周囲の強力な敵性存在<br>すべて撃退完了しました！<br>お疲れ様でした！"""
NpcComOnFailure#1,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin#2,"""พบปฏิกริยาศัตรูที่แข็งแกร่ง<br>น่าจะเป็นชนิดเดียวกับที่เรากำลังต่อสู้อยู่"""
NpcComOnBegin#2,"""มีข้อความด่วน<br>ตรวจพบปฏิกริยาศัตรูที่แข็งแกร่ง<br>จงรีบกำจัดมันโดยเร็วที่สุด"""
NpcComOnSuccess#2,"""ศัตรูในบริเวณใกล้เคียงถูกกำจัดแล้ว<br>เยี่ยมมาก"""
NpcComOnFailure#2,"""/face6 ...ล้มเหลวงั้นรึ<br>หน่วยปฏิบัติการทุกคนกลับไปประจำหน้าที่ของตัวเองได้"""
NpcComOnPreBegin#3,"""強力な敵性反応が近づいている。<br>交戦中のそいつと同種族のようだ。"""
NpcComOnBegin#3,"""緊急通達だ。<br>強力な敵性存在が確認された。<br>早急に撃破しろ。"""
NpcComOnSuccess#3,"""周辺一帯の敵性存在は<br>とりあえず片付いたようだな。<br>ご苦労だった。"""
NpcComOnFailure#3,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin#4,"""มีปฏิกริยาที่รุนแรงปรากฏขึ้น!<br>หรือว่าจะเป็นชนิดเดียวกับที่เรากำลังต่อสู้อยู่งั้นเหรอ?"""
NpcComOnBegin#4,"""ฉุกเฉิน!<br>มีปฏิกริยาศัตรูที่แข็งแกร่ง!<br>รีบโจมตีมันเดี๋ยวนี้!"""
NpcComOnSuccess#4,"""/face2 เฮ้อ เรียบร้อยซะที!<br>ดีจริงๆ!"""
NpcComOnFailure#4,"""/face6 อือ ล้มเหลวซินะ...<br>โปรดกลับไปประจำหน้าที่ของตัวเองด้วย"""
NpcComOnPreBegin#5,"""強そうな反応がビンビンです！<br>今戦ってる敵さんと同種、かな？"""
NpcComOnBegin#5,"""緊急通達ですー！<br>強力な敵さんの反応を確認！<br>急いで撃破しちゃってくださーい！"""
NpcComOnSuccess#5,"""/face2 ふー、これで一段落ですねー！<br>よかったですー！"""
NpcComOnFailure#5,"""/face6 うー、失敗ですねぇ……<br>通常任務に戻ってくださいー。"""
