text01#0,"""ใช่ ใช่ นั่นล่ะ Mag ของท่าน<br>มีความสุขแล้ว น่ารักใช่ไหม? อู้ววว!"""
text02#0,"""อุ๊ปส์ ข้าติดธุระ<br>ขอโทษนะ แต่เลี้ยงแบบนั้นล่ะ<br>Mag ของท่านจะแข็งแรง"""
text03#0,"""และอย่าลืมคิดถึงการพัฒนา Mag ด้วยนะ<br>จนกว่าท่านจะได้ Mag ตามที่ต้องการ"""
11_voice_NPC_5002_100#0,"""เอาล่ะ ดูแลมันให้ดีนะ<br>ไว้เจอกันใหม่!"""
text01#1,"""うんうん、そうそう、いい感じ。<br>マグもすっごい喜んでるよ、ほら。<br>かわいいよねぇ……"""
text02#1,"""ととっ、脱線しちゃった。<br>とりあえずエサのあげ方としては<br>今のような感じで大丈夫よ。"""
text03#1,"""あとは、さっき言った育成方針とか<br>そういうの。やりながら覚えていって<br>きみだけのマグに育ててあげてね。"""
11_voice_NPC_5002_100#1,"""それじゃ、これからもその子を<br>大切にしてあげてね。"""
text00#0,"""เกี่ยวกับ [Mag Device]"""
text01#2,"""ข้อมูลเกี่ยวกับ [Mag Device]<br><br>เมื่อใช้ Mag Device จะเป็นการเซตค่าพลังให้กับ Mag ใหม่ทั้งหมด<br>พร้อมทั้งได้รับความสามารถพิเศษใหม่<br>และมีบางชนิดที่สามารถเปลี่ยนรูปร่างภายนอกของ Mag ได้อีกด้วย<br><br>"""
text02#2,"""ท่านสามารถใช้ Mag Device ได้ผ่านทางหัวข้อ<br>[Use Device] ในหน้าข้อมูลของ Mag ที่ท่านเลือก"""
text03#2,"""PhotonBlast ที่ใช้ได้จะเปลี่ยนไปตามรูปร่างและสีของ Mag<br>และอัตราการเจริญเติบโตของ Mag จะแตกต่างไปตาม Device ที่ท่านเลือกใช้"""
text00#1,"""『マグデバイス』について"""
text01#3,"""「マグデバイス」について、説明します。<br><br>マグデバイスを利用することで、マグに新たな能力を付与したり<br>すでにある機能を書き換えることができます。<br>中にはマグ自体の見た目を変更するものもあります。"""
text02#3,"""マグデバイスは、マグを選択後に<br>「デバイスを使う」メニューから、与えることができます。"""
text03#3,"""マグの色や形を変えたり、フォトンブラストの能力を変更したり<br>成長の促進にデバイスを利用したりと様々なデバイスが存在します。<br><br>デバイスを利用して、好みのマグにカスタマイズしていきましょう。"""
