un_020100_0010#0,"""嗨，這裡是帕緹！<br>為你帶來緊急快報！"""
un_020100_0020#0,"""虛空機關！<br>已經查明之前被稱為研究部、研究室<br>部門的正式名稱了！"""
un_020100_0030#0,"""以上是帕緹在現場<br>為你報導！"""
un_020100_0040#0,"""你好，我是提雅。<br>已經連吐槽的力氣都沒了。"""
un_020100_0050#0,"""這可是難得的重大情報耶，<br>妳很沒勁耶，提雅！"""
un_020100_0060#0,"""這是從好不容易掌握的線索中<br>抽絲剝繭出來的名字耶！<br>大家可以再愕然吃驚一點嘛！"""
un_020100_0070#0,"""話是這麼說，但最後<br>還是研究部啦研究室等等<br>比較好講......"""
un_020100_0080#0,"""不過，虛空機關本身似乎<br>不只是專門研究技術的<br>組織而已呢。"""
un_020100_0090#0,"""據說每當ARKS出現重大變化，<br>背後常有虛空機關的影子活動<br>等等之類的......"""
un_020100_0100#0,"""暗中活動！\u3000好像是某壞人組織一樣嘛！<br>那個是ARKS內部的......組織吧？"""
un_020100_0110#0,"""當然是。<br>也發表過種種對於ARKS<br>有利益的研究呢。"""
un_020100_0120#0,"""不過，以一介研究組織來說<br>感覺權力有些過當了。"""
un_020100_0130#0,"""不過，虛空機關這名字聽起來<br>就已經是非常可疑了！"""
un_020100_0140#0,"""雖然光看名字判斷不太好，<br>但我同意帕緹的意見。"""
un_020100_0150#0,"""包含最近突然嶄露頭角在內，<br>簡直是倍增詭異呢。"""
un_020100_0160#0,"""以前也不是沒查過，<br>就一點動靜都沒有的說。"""
un_020100_0170#0,"""呣呣呣，人家頭上的詭異天線<br>接受到強烈訊號了。<br>好，提雅，繼續進一步的調查！"""
un_020100_0180#0,"""啊，等等啦帕緹！<br>真的很抱歉，先告辭了。"""
un_020100_0010#1,"""はい、こちらパティちゃんです！<br>緊急速報をお伝えします！"""
un_020100_0020#1,"""虚空機関です！<br>研究部とか研究室とか言われていた<br>部署の正式名称が判明しました！"""
un_020100_0030#1,"""以上、現場のパティちゃんから<br>お伝えしました！"""
un_020100_0040#1,"""どうも、ティアです。<br>もはや突っ込む気も失せました。"""
un_020100_0050#1,"""ひっさびさの大きな情報なのに<br>テンション低いなぁティア！"""
un_020100_0060#1,"""ようやく掴めた尻尾から<br>出てきた名前なんだよ！<br>もっとどっきりびっくりしようよ！"""
un_020100_0070#1,"""そうはいっても、結局<br>研究部とか研究室の方が<br>言いやすいし……"""
un_020100_0080#1,"""ただ、虚空機関そのものは<br>技術研究しているだけの<br>組織じゃないみたい。"""
un_020100_0090#1,"""アークスに何か重大な変化が起こる時<br>常に虚空機関が暗躍していたとか<br>なんとか……"""
un_020100_0100#1,"""暗躍！\u3000なんだか悪の組織みたい！<br>アークス内の組織……だよね？"""
un_020100_0110#1,"""もちろん。<br>アークスにとって利益のある<br>研究だっていろいろ発表してるわ。"""
un_020100_0120#1,"""ただ、一つの研究組織というには<br>権力が強すぎる気がするかな。"""
un_020100_0130#1,"""まー、虚空機関って名前からして<br>すでにうっさんくさいもんね！"""
un_020100_0140#1,"""名前だけで判断するのはよくないけど<br>私もパティちゃんと同意見かな。"""
un_020100_0150#1,"""急に目立ってきたってのも含めて<br>怪しさ倍々ゲームだよ。"""
un_020100_0160#1,"""今までは叩いてもホコリすら<br>出てこなかったのにー。"""
un_020100_0170#1,"""むむむ、あたしの怪しいアンテナが<br>びんびん反応しているぞっ。<br>よし、ティア、さらなる調査だよ！"""
un_020100_0180#1,"""あっ、ちょっと待ってパティちゃん！<br>すみません、失礼します。"""
